train_params/lambda_normal_consistency,epoch,train_params/lambda_sds,train/loss_sds,lr-AdamW,train/max_step,train/min_step,step,train/grad_norm
0.0,0,1.0,60.51445770263672,,500.0,20.0,55,11.001314163208008
,,,,0.01,,,56,
0.0,0,1.0,649.585205078125,,500.0,20.0,56,36.04400634765625
,,,,0.01,,,57,
0.0,0,1.0,6048.818359375,,500.0,20.0,57,109.9892578125
,,,,0.01,,,58,
0.0,0,1.0,37531.76953125,,500.0,20.0,58,273.9772644042969
,,,,0.01,,,59,
0.0,0,1.0,35006.2109375,,500.0,20.0,59,264.5986022949219
,,,,0.01,,,60,
0.0,0,1.0,51.739158630371094,,500.0,20.0,60,10.172429084777832
,,,,0.01,,,61,
0.0,0,1.0,87138.625,,500.0,20.0,61,417.46527099609375
,,,,0.01,,,62,
0.0,0,1.0,38827.12109375,,500.0,20.0,62,278.66510009765625
,,,,0.01,,,63,
0.0,0,1.0,4025.469482421875,,500.0,20.0,63,89.7270278930664
,,,,0.01,,,64,
0.0,0,1.0,11429.33984375,,500.0,20.0,64,151.1908721923828
,,,,0.01,,,65,
0.0,0,1.0,1732.846923828125,,500.0,20.0,65,58.870140075683594
,,,,0.01,,,66,
0.0,0,1.0,14087.79296875,,500.0,20.0,66,167.8558349609375
,,,,0.01,,,67,
0.0,0,1.0,215.1671600341797,,500.0,20.0,67,20.7445011138916
,,,,0.01,,,68,
0.0,0,1.0,6382.59326171875,,500.0,20.0,68,112.98312377929688
,,,,0.01,,,69,
0.0,0,1.0,4368.642578125,,500.0,20.0,69,93.47344970703125
,,,,0.01,,,70,
0.0,0,1.0,21111.9375,,500.0,20.0,70,205.48448181152344
,,,,0.01,,,71,
0.0,0,1.0,14931.2607421875,,500.0,20.0,71,172.80775451660156
,,,,0.01,,,72,
0.0,0,1.0,345.561767578125,,500.0,20.0,72,26.289228439331055
,,,,0.01,,,73,
0.0,0,1.0,16563.76171875,,500.0,20.0,73,182.00967407226562
,,,,0.01,,,74,
0.0,0,1.0,12994.6806640625,,500.0,20.0,74,161.212158203125
,,,,0.01,,,75,
0.0,0,1.0,24175.0546875,,500.0,20.0,75,219.88658142089844
,,,,0.01,,,76,
0.0,0,1.0,9.31583309173584,,500.0,20.0,76,4.316441535949707
,,,,0.01,,,77,
0.0,0,1.0,6089.005859375,,500.0,20.0,77,110.3540267944336
,,,,0.01,,,78,
0.0,0,1.0,34426.54296875,,500.0,20.0,78,262.3987121582031
,,,,0.01,,,79,
0.0,0,1.0,18615.78125,,500.0,20.0,79,192.95481872558594
,,,,0.01,,,80,
0.0,0,1.0,1574.09423828125,,500.0,20.0,80,56.10871887207031
,,,,0.01,,,81,
0.0,0,1.0,1117.7041015625,,500.0,20.0,81,47.28010177612305
,,,,0.01,,,82,
0.0,0,1.0,38177.01171875,,500.0,20.0,82,276.32232666015625
,,,,0.01,,,83,
0.0,0,1.0,8555.068359375,,500.0,20.0,83,130.80572509765625
,,,,0.01,,,84,
0.0,0,1.0,8922.6376953125,,500.0,20.0,84,133.58621215820312
,,,,0.01,,,85,
0.0,0,1.0,6399.654296875,,500.0,20.0,85,113.13402557373047
,,,,0.01,,,86,
0.0,0,1.0,391.12890625,,500.0,20.0,86,27.9688720703125
,,,,0.01,,,87,
0.0,0,1.0,47394.95703125,,500.0,20.0,87,307.87969970703125
,,,,0.01,,,88,
0.0,0,1.0,59512.27734375,,500.0,20.0,88,344.9993591308594
,,,,0.01,,,89,
0.0,0,1.0,27203.193359375,,500.0,20.0,89,233.25177001953125
,,,,0.01,,,90,
0.0,0,1.0,59.67847442626953,,500.0,20.0,90,10.925060272216797
,,,,0.01,,,91,
0.0,0,1.0,14998.140625,,500.0,20.0,91,173.19435119628906
,,,,0.01,,,92,
0.0,0,1.0,48629.96484375,,500.0,20.0,92,311.865234375
,,,,0.01,,,93,
0.0,0,1.0,52290.1484375,,500.0,20.0,93,323.3887634277344
,,,,0.01,,,94,
0.0,0,1.0,23793.65234375,,500.0,20.0,94,218.1451416015625
,,,,0.01,,,95,
0.0,0,1.0,13060.5791015625,,500.0,20.0,95,161.6204071044922
,,,,0.01,,,96,
0.0,0,1.0,11289.0390625,,500.0,20.0,96,150.26004028320312
,,,,0.01,,,97,
0.0,0,1.0,69320.96875,,500.0,20.0,97,372.3465270996094
,,,,0.01,,,98,
0.0,0,1.0,10611.7109375,,500.0,20.0,98,145.68260192871094
,,,,0.01,,,99,
0.0,0,1.0,15247.22265625,,500.0,20.0,99,174.6265869140625
,,,,0.01,,,100,
0.0,0,1.0,2126.929931640625,,500.0,20.0,100,65.22161865234375
,,,,0.01,,,101,
0.0,0,1.0,2223.998291015625,,500.0,20.0,101,66.69330596923828
,,,,0.01,,,102,
0.0,0,1.0,11188.2841796875,,500.0,20.0,102,149.58799743652344
,,,,0.01,,,103,
0.0,0,1.0,7964.27880859375,,500.0,20.0,103,126.20838928222656
,,,,0.01,,,104,
0.0,0,1.0,5571.83203125,,500.0,20.0,104,105.56356048583984
,,,,0.01,,,105,
0.0,0,1.0,8458.1044921875,,500.0,20.0,105,130.0623321533203
,,,,0.01,,,106,
0.0,0,1.0,67814.6015625,,500.0,20.0,106,368.2787170410156
,,,,0.01,,,107,
0.0,0,1.0,4808.55419921875,,500.0,20.0,107,98.06685638427734
,,,,0.01,,,108,
0.0,0,1.0,20061.951171875,,500.0,20.0,108,200.30950927734375
,,,,0.01,,,109,
0.0,0,1.0,2527.6279296875,,500.0,20.0,109,71.1003189086914
,,,,0.01,,,110,
0.0,0,1.0,50120.984375,,500.0,20.0,110,316.610107421875
,,,,0.01,,,111,
0.0,0,1.0,49829.984375,,500.0,20.0,111,315.6896667480469
,,,,0.01,,,112,
0.0,0,1.0,12254.90234375,,500.0,20.0,112,156.5560760498047
,,,,0.01,,,113,
0.0,0,1.0,666.8905029296875,,500.0,20.0,113,36.520965576171875
,,,,0.01,,,114,
0.0,0,1.0,46469.1015625,,500.0,20.0,114,304.857666015625
,,,,0.01,,,115,
0.0,0,1.0,6337.52880859375,,500.0,20.0,115,112.58356475830078
,,,,0.01,,,116,
0.0,0,1.0,82146.5703125,,500.0,20.0,116,405.3309020996094
,,,,0.01,,,117,
0.0,0,1.0,9247.5986328125,,500.0,20.0,117,135.99705505371094
,,,,0.01,,,118,
0.0,0,1.0,7679.4365234375,,500.0,20.0,118,123.93092346191406
,,,,0.01,,,119,
0.0,0,1.0,1883.2122802734375,,500.0,20.0,119,61.3712043762207
,,,,0.01,,,120,
0.0,0,1.0,17015.203125,,500.0,20.0,120,184.47332763671875
,,,,0.01,,,121,
0.0,0,1.0,31876.08203125,,500.0,20.0,121,252.49191284179688
,,,,0.01,,,122,
0.0,0,1.0,245.29351806640625,,500.0,20.0,122,22.149198532104492
,,,,0.01,,,123,
0.0,0,1.0,12421.5234375,,500.0,20.0,123,157.6167755126953
,,,,0.01,,,124,
0.0,0,1.0,13058.966796875,,500.0,20.0,124,161.61044311523438
,,,,0.01,,,125,
0.0,0,1.0,21619.34765625,,500.0,20.0,125,207.9391632080078
,,,,0.01,,,126,
0.0,0,1.0,4718.8857421875,,500.0,20.0,126,97.148193359375
,,,,0.01,,,127,
0.0,0,1.0,44470.078125,,500.0,20.0,127,298.2283630371094
,,,,0.01,,,128,
0.0,0,1.0,41292.08203125,,500.0,20.0,128,287.3746032714844
,,,,0.01,,,129,
0.0,0,1.0,41357.05078125,,500.0,20.0,129,287.6005859375
,,,,0.01,,,130,
0.0,0,1.0,151.1688995361328,,500.0,20.0,130,17.387863159179688
,,,,0.01,,,131,
0.0,0,1.0,15541.44921875,,500.0,20.0,131,176.3034210205078
,,,,0.01,,,132,
0.0,0,1.0,837.657470703125,,500.0,20.0,132,40.93061065673828
,,,,0.01,,,133,
0.0,0,1.0,62800.671875,,500.0,20.0,133,354.4028015136719
,,,,0.01,,,134,
0.0,0,1.0,8.537904739379883,,500.0,20.0,134,4.132288455963135
,,,,0.01,,,135,
0.0,0,1.0,6749.91015625,,500.0,20.0,135,116.18872833251953
,,,,0.01,,,136,
0.0,0,1.0,65513.6171875,,500.0,20.0,136,361.9768371582031
,,,,0.01,,,137,
0.0,0,1.0,28208.833984375,,500.0,20.0,137,237.52403259277344
,,,,0.01,,,138,
0.0,0,1.0,28080.75,,500.0,20.0,138,236.9841766357422
,,,,0.01,,,139,
0.0,0,1.0,70174.3203125,,500.0,20.0,139,374.6313171386719
,,,,0.01,,,140,
0.0,0,1.0,761.1491088867188,,500.0,20.0,140,39.01664352416992
,,,,0.01,,,141,
0.0,0,1.0,1520.6719970703125,,500.0,20.0,141,55.148380279541016
,,,,0.01,,,142,
0.0,0,1.0,71219.1328125,,500.0,20.0,142,377.40997314453125
,,,,0.01,,,143,
0.0,0,1.0,67715.7734375,,500.0,20.0,143,368.01025390625
,,,,0.01,,,144,
0.0,0,1.0,32844.484375,,500.0,20.0,144,256.298583984375
,,,,0.01,,,145,
0.0,0,1.0,34456.48828125,,500.0,20.0,145,262.5128173828125
,,,,0.01,,,146,
0.0,0,1.0,26372.8125,,500.0,20.0,146,229.66416931152344
,,,,0.01,,,147,
0.0,0,1.0,53533.1796875,,500.0,20.0,147,327.2099609375
,,,,0.01,,,148,
0.0,0,1.0,1534.056884765625,,500.0,20.0,148,55.39055633544922
,,,,0.01,,,149,
0.0,0,1.0,18409.869140625,,500.0,20.0,149,191.88470458984375
,,,,0.01,,,150,
0.0,0,1.0,59888.859375,,500.0,20.0,150,346.0892028808594
,,,,0.01,,,151,
0.0,0,1.0,11051.3046875,,500.0,20.0,151,148.66946411132812
,,,,0.01,,,152,
0.0,0,1.0,914.5386962890625,,500.0,20.0,152,42.76771545410156
,,,,0.01,,,153,
0.0,0,1.0,34005.08203125,,500.0,20.0,153,260.7875671386719
,,,,0.01,,,154,
0.0,0,1.0,39305.71875,,500.0,20.0,154,280.3773193359375
,,,,0.01,,,155,
0.0,0,1.0,1386.7333984375,,500.0,20.0,155,52.66371536254883
,,,,0.01,,,156,
0.0,0,1.0,18736.314453125,,500.0,20.0,156,193.57847595214844
,,,,0.01,,,157,
0.0,0,1.0,35613.6328125,,500.0,20.0,157,266.8843688964844
,,,,0.01,,,158,
0.0,0,1.0,5217.17431640625,,500.0,20.0,158,102.1486587524414
,,,,0.01,,,159,
0.0,0,1.0,27042.025390625,,500.0,20.0,159,232.5597686767578
,,,,0.01,,,160,
0.0,0,1.0,36389.296875,,500.0,20.0,160,269.77508544921875
,,,,0.01,,,161,
0.0,0,1.0,4653.87890625,,500.0,20.0,161,96.47672271728516
,,,,0.01,,,162,
0.0,0,1.0,89882.1875,,500.0,20.0,162,423.9862976074219
,,,,0.01,,,163,
0.0,0,1.0,2320.794677734375,,500.0,20.0,163,68.12920379638672
,,,,0.01,,,164,
0.0,0,1.0,5109.21875,,500.0,20.0,164,101.08628845214844
,,,,0.01,,,165,
0.0,0,1.0,32357.453125,,500.0,20.0,165,254.39125061035156
,,,,0.01,,,166,
0.0,0,1.0,19486.0390625,,500.0,20.0,166,197.41346740722656
,,,,0.01,,,167,
0.0,0,1.0,38713.38671875,,500.0,20.0,167,278.2566833496094
,,,,0.01,,,168,
0.0,0,1.0,37103.9609375,,500.0,20.0,168,272.41131591796875
,,,,0.01,,,169,
0.0,0,1.0,204.2096405029297,,500.0,20.0,169,20.209386825561523
,,,,0.01,,,170,
0.0,0,1.0,3337.94677734375,,500.0,20.0,170,81.70613861083984
,,,,0.01,,,171,
0.0,0,1.0,46243.12890625,,500.0,20.0,171,304.11553955078125
,,,,0.01,,,172,
0.0,0,1.0,52002.7421875,,500.0,20.0,172,322.4988098144531
,,,,0.01,,,173,
0.0,0,1.0,477.48199462890625,,500.0,20.0,173,30.90249252319336
,,,,0.01,,,174,
0.0,0,1.0,77.5181655883789,,500.0,20.0,174,12.451358795166016
,,,,0.01,,,175,
