train_params/lambda_normal_consistency,epoch,train_params/lambda_sds,train/loss_sds,lr-AdamW,train/max_step,train/min_step,step,train/grad_norm
0.0,0,1.0,62708.5546875,,500.0,20.0,2761,354.1427917480469
,,,,0.01,,,2762,
0.0,0,1.0,8752.3662109375,,500.0,20.0,2762,132.30545043945312
,,,,0.01,,,2763,
0.0,0,1.0,2364.691162109375,,500.0,20.0,2763,68.7705078125
,,,,0.01,,,2764,
0.0,0,1.0,614.2188720703125,,500.0,20.0,2764,35.049076080322266
,,,,0.01,,,2765,
0.0,0,1.0,38283.484375,,500.0,20.0,2765,276.7073669433594
,,,,0.01,,,2766,
0.0,0,1.0,115.49537658691406,,500.0,20.0,2766,15.198379516601562
,,,,0.01,,,2767,
0.0,0,1.0,42661.015625,,500.0,20.0,2767,292.099365234375
,,,,0.01,,,2768,
0.0,0,1.0,31.46044921875,,500.0,20.0,2768,7.93226957321167
,,,,0.01,,,2769,
0.0,0,1.0,48067.890625,,500.0,20.0,2769,310.0577087402344
,,,,0.01,,,2770,
0.0,0,1.0,49177.25,,500.0,20.0,2770,313.6152038574219
,,,,0.01,,,2771,
0.0,0,1.0,11455.0673828125,,500.0,20.0,2771,151.36093139648438
,,,,0.01,,,2772,
0.0,0,1.0,50918.6875,,500.0,20.0,2772,319.11968994140625
,,,,0.01,,,2773,
0.0,0,1.0,326.9964599609375,,500.0,20.0,2773,25.573286056518555
,,,,0.01,,,2774,
0.0,0,1.0,185.89080810546875,,500.0,20.0,2774,19.281639099121094
,,,,0.01,,,2775,
0.0,0,1.0,8668.9501953125,,500.0,20.0,2775,131.6734619140625
,,,,0.01,,,2776,
0.0,0,1.0,20068.515625,,500.0,20.0,2776,200.34228515625
,,,,0.01,,,2777,
0.0,0,1.0,46944.72265625,,500.0,20.0,2777,306.4138488769531
,,,,0.01,,,2778,
0.0,0,1.0,265.3090515136719,,500.0,20.0,2778,23.03514862060547
,,,,0.01,,,2779,
0.0,0,1.0,396.35162353515625,,500.0,20.0,2779,28.154985427856445
,,,,0.01,,,2780,
0.0,0,1.0,957.6976318359375,,500.0,20.0,2780,43.765228271484375
,,,,0.01,,,2781,
0.0,0,1.0,4095.9052734375,,500.0,20.0,2781,90.50862121582031
,,,,0.01,,,2782,
0.0,0,1.0,78380.46875,,500.0,20.0,2782,395.93048095703125
,,,,0.01,,,2783,
0.0,0,1.0,45487.328125,,500.0,20.0,2783,301.62005615234375
,,,,0.01,,,2784,
0.0,0,1.0,251.081787109375,,500.0,20.0,2784,22.409006118774414
,,,,0.01,,,2785,
0.0,0,1.0,19948.208984375,,500.0,20.0,2785,199.74087524414062
,,,,0.01,,,2786,
0.0,0,1.0,33390.5390625,,500.0,20.0,2786,258.42034912109375
,,,,0.01,,,2787,
0.0,0,1.0,62.336910247802734,,500.0,20.0,2787,11.165742874145508
,,,,0.01,,,2788,
0.0,0,1.0,2129.248291015625,,500.0,20.0,2788,65.25715637207031
,,,,0.01,,,2789,
0.0,0,1.0,70954.65625,,500.0,20.0,2789,376.7085266113281
,,,,0.01,,,2790,
0.0,0,1.0,79283.796875,,500.0,20.0,2790,398.2054748535156
,,,,0.01,,,2791,
0.0,0,1.0,50345.57421875,,500.0,20.0,2791,317.31866455078125
,,,,0.01,,,2792,
0.0,0,1.0,84749.4453125,,500.0,20.0,2792,411.7024230957031
,,,,0.01,,,2793,
0.0,0,1.0,44305.68359375,,500.0,20.0,2793,297.6766052246094
,,,,0.01,,,2794,
0.0,0,1.0,63642.78125,,500.0,20.0,2794,356.7710266113281
,,,,0.01,,,2795,
0.0,0,1.0,2549.484375,,500.0,20.0,2795,71.40706634521484
,,,,0.01,,,2796,
0.0,0,1.0,15473.884765625,,500.0,20.0,2796,175.91978454589844
,,,,0.01,,,2797,
0.0,0,1.0,26.771562576293945,,500.0,20.0,2797,7.317317008972168
,,,,0.01,,,2798,
0.0,0,1.0,14986.240234375,,500.0,20.0,2798,173.12562561035156
,,,,0.01,,,2799,
0.0,0,1.0,2606.84423828125,,500.0,20.0,2799,72.20587921142578
,,,,0.01,,,2800,
0.0,0,1.0,38746.546875,,500.0,20.0,2800,278.3758239746094
,,,,0.01,,,2801,
0.0,0,1.0,221.4561309814453,,500.0,20.0,2801,21.045480728149414
,,,,0.01,,,2802,
0.0,0,1.0,12123.9853515625,,500.0,20.0,2802,155.7176055908203
,,,,0.01,,,2803,
0.0,0,1.0,21869.68359375,,500.0,20.0,2803,209.13958740234375
,,,,0.01,,,2804,
0.0,0,1.0,81010.1875,,500.0,20.0,2804,402.5175476074219
,,,,0.01,,,2805,
0.0,0,1.0,10582.837890625,,500.0,20.0,2805,145.48426818847656
,,,,0.01,,,2806,
0.0,0,1.0,49790.75,,500.0,20.0,2806,315.56536865234375
,,,,0.01,,,2807,
0.0,0,1.0,81.63217163085938,,500.0,20.0,2807,12.777493476867676
,,,,0.01,,,2808,
0.0,0,1.0,58477.64453125,,500.0,20.0,2808,341.9872741699219
,,,,0.01,,,2809,
0.0,0,1.0,1513.98681640625,,500.0,20.0,2809,55.02702713012695
,,,,0.01,,,2810,
0.0,0,1.0,1724.886962890625,,500.0,20.0,2810,58.73477554321289
,,,,0.01,,,2811,
0.0,0,1.0,21136.87109375,,500.0,20.0,2811,205.6057891845703
,,,,0.01,,,2812,
0.0,0,1.0,24.933311462402344,,500.0,20.0,2812,7.0616302490234375
,,,,0.01,,,2813,
0.0,0,1.0,107987.90625,,500.0,20.0,2813,464.7319641113281
,,,,0.01,,,2814,
0.0,0,1.0,1572.830078125,,500.0,20.0,2814,56.086185455322266
,,,,0.01,,,2815,
0.0,0,1.0,2360.490966796875,,500.0,20.0,2815,68.70940399169922
,,,,0.01,,,2816,
0.0,0,1.0,223.56488037109375,,500.0,20.0,2816,21.145442962646484
,,,,0.01,,,2817,
0.0,0,1.0,254.73861694335938,,500.0,20.0,2817,22.57160186767578
,,,,0.01,,,2818,
0.0,0,1.0,4175.63623046875,,500.0,20.0,2818,91.38529968261719
,,,,0.01,,,2819,
0.0,0,1.0,118739.40625,,500.0,20.0,2819,487.3179626464844
,,,,0.01,,,2820,
0.0,0,1.0,124258.859375,,500.0,20.0,2820,498.5155334472656
,,,,0.01,,,2821,
0.0,0,1.0,8608.8212890625,,500.0,20.0,2821,131.21600341796875
,,,,0.01,,,2822,
0.0,0,1.0,106627.0,,500.0,20.0,2822,461.7943115234375
,,,,0.01,,,2823,
0.0,0,1.0,46.5423469543457,,500.0,20.0,2823,9.648040771484375
,,,,0.01,,,2824,
0.0,0,1.0,89990.109375,,500.0,20.0,2824,424.2407531738281
,,,,0.01,,,2825,
0.0,0,1.0,72992.734375,,500.0,20.0,2825,382.0804748535156
,,,,0.01,,,2826,
0.0,0,1.0,101.20143127441406,,500.0,20.0,2826,14.226836204528809
,,,,0.01,,,2827,
0.0,0,1.0,68190.234375,,500.0,20.0,2827,369.2972717285156
,,,,0.01,,,2828,
0.0,0,1.0,203.79049682617188,,500.0,20.0,2828,20.188634872436523
,,,,0.01,,,2829,
0.0,0,1.0,3284.1904296875,,500.0,20.0,2829,81.04554748535156
,,,,0.01,,,2830,
0.0,0,1.0,11326.4794921875,,500.0,20.0,2830,150.50900268554688
,,,,0.01,,,2831,
0.0,0,1.0,4250.44091796875,,500.0,20.0,2831,92.20022583007812
,,,,0.01,,,2832,
0.0,0,1.0,18279.373046875,,500.0,20.0,2832,191.2034149169922
,,,,0.01,,,2833,
0.0,0,1.0,63588.10546875,,500.0,20.0,2833,356.61773681640625
,,,,0.01,,,2834,
0.0,0,1.0,7065.36865234375,,500.0,20.0,2834,118.8727798461914
,,,,0.01,,,2835,
0.0,0,1.0,81439.90625,,500.0,20.0,2835,403.5837097167969
,,,,0.01,,,2836,
0.0,0,1.0,12116.0458984375,,500.0,20.0,2836,155.66661071777344
,,,,0.01,,,2837,
0.0,0,1.0,67010.609375,,500.0,20.0,2837,366.0890808105469
,,,,0.01,,,2838,
0.0,0,1.0,4357.94921875,,500.0,20.0,2838,93.35897827148438
,,,,0.01,,,2839,
0.0,0,1.0,1213.94873046875,,500.0,20.0,2839,49.27370071411133
,,,,0.01,,,2840,
0.0,0,1.0,346.6062316894531,,500.0,20.0,2840,26.328927993774414
,,,,0.01,,,2841,
0.0,0,1.0,308.5465393066406,,500.0,20.0,2841,24.841358184814453
,,,,0.01,,,2842,
0.0,0,1.0,46556.26953125,,500.0,20.0,2842,305.14349365234375
,,,,0.01,,,2843,
0.0,0,1.0,22054.125,,500.0,20.0,2843,210.01963806152344
,,,,0.01,,,2844,
0.0,0,1.0,64831.87890625,,500.0,20.0,2844,360.0885314941406
,,,,0.01,,,2845,
0.0,0,1.0,78525.515625,,500.0,20.0,2845,396.296630859375
,,,,0.01,,,2846,
0.0,0,1.0,56390.55859375,,500.0,20.0,2846,335.8290100097656
,,,,0.01,,,2847,
0.0,0,1.0,12124.4423828125,,500.0,20.0,2847,155.7205352783203
,,,,0.01,,,2848,
0.0,0,1.0,89977.6171875,,500.0,20.0,2848,424.2113037109375
,,,,0.01,,,2849,
0.0,0,1.0,25.59481430053711,,500.0,20.0,2849,7.154692649841309
,,,,0.01,,,2850,
0.0,0,1.0,11101.2705078125,,500.0,20.0,2850,149.0051727294922
,,,,0.01,,,2851,
0.0,0,1.0,5502.00048828125,,500.0,20.0,2851,104.89995574951172
,,,,0.01,,,2852,
0.0,0,1.0,12419.48046875,,500.0,20.0,2852,157.6038055419922
,,,,0.01,,,2853,
0.0,0,1.0,736.7030029296875,,500.0,20.0,2853,38.384971618652344
,,,,0.01,,,2854,
0.0,0,1.0,86923.2421875,,500.0,20.0,2854,416.9490051269531
,,,,0.01,,,2855,
0.0,0,1.0,12574.703125,,500.0,20.0,2855,158.5856475830078
,,,,0.01,,,2856,
0.0,0,1.0,87640.6875,,500.0,20.0,2856,418.66619873046875
,,,,0.01,,,2857,
0.0,0,1.0,4822.384765625,,500.0,20.0,2857,98.2077865600586
,,,,0.01,,,2858,
0.0,0,1.0,2205.889892578125,,500.0,20.0,2858,66.42123413085938
,,,,0.01,,,2859,
0.0,0,1.0,42597.0,,500.0,20.0,2859,291.880126953125
,,,,0.01,,,2860,
0.0,0,1.0,56594.0390625,,500.0,20.0,2860,336.4343566894531
,,,,0.01,,,2861,
0.0,0,1.0,58041.98828125,,500.0,20.0,2861,340.71099853515625
,,,,0.01,,,2862,
0.0,0,1.0,65572.921875,,500.0,20.0,2862,362.1406555175781
,,,,0.01,,,2863,
0.0,0,1.0,111450.40625,,500.0,20.0,2863,472.12371826171875
,,,,0.01,,,2864,
0.0,0,1.0,11222.056640625,,500.0,20.0,2864,149.8135986328125
,,,,0.01,,,2865,
0.0,0,1.0,2980.4599609375,,500.0,20.0,2865,77.20699310302734
,,,,0.01,,,2866,
0.0,0,1.0,1476.0479736328125,,500.0,20.0,2866,54.333194732666016
,,,,0.01,,,2867,
0.0,0,1.0,274.45111083984375,,500.0,20.0,2867,23.42866325378418
,,,,0.01,,,2868,
0.0,0,1.0,3722.8427734375,,500.0,20.0,2868,86.28838348388672
,,,,0.01,,,2869,
0.0,0,1.0,166.1698760986328,,500.0,20.0,2869,18.230186462402344
,,,,0.01,,,2870,
0.0,0,1.0,697.8931884765625,,500.0,20.0,2870,37.360225677490234
,,,,0.01,,,2871,
0.0,0,1.0,37018.6875,,500.0,20.0,2871,272.09808349609375
,,,,0.01,,,2872,
0.0,0,1.0,63776.85546875,,500.0,20.0,2872,357.1466369628906
,,,,0.01,,,2873,
0.0,0,1.0,305.50982666015625,,500.0,20.0,2873,24.71881103515625
,,,,0.01,,,2874,
0.0,0,1.0,1080.736328125,,500.0,20.0,2874,46.491641998291016
,,,,0.01,,,2875,
0.0,0,1.0,19717.962890625,,500.0,20.0,2875,198.58482360839844
,,,,0.01,,,2876,
0.0,0,1.0,4126.23583984375,,500.0,20.0,2876,90.8431167602539
,,,,0.01,,,2877,
0.0,0,1.0,6254.2333984375,,500.0,20.0,2877,111.84125518798828
,,,,0.01,,,2878,
0.0,0,1.0,47409.79296875,,500.0,20.0,2878,307.9278869628906
,,,,0.01,,,2879,
0.0,0,1.0,42741.2578125,,500.0,20.0,2879,292.3739318847656
,,,,0.01,,,2880,
0.0,0,1.0,23.18606948852539,,500.0,20.0,2880,6.809709072113037
,,,,0.01,,,2881,
0.0,0,1.0,49216.296875,,500.0,20.0,2881,313.73968505859375
,,,,0.01,,,2882,
0.0,0,1.0,767.917236328125,,500.0,20.0,2882,39.18972396850586
,,,,0.01,,,2883,
0.0,0,1.0,60255.3359375,,500.0,20.0,2883,347.146484375
,,,,0.01,,,2884,
0.0,0,1.0,60339.453125,,500.0,20.0,2884,347.3887023925781
,,,,0.01,,,2885,
0.0,0,1.0,1488.087890625,,500.0,20.0,2885,54.55433654785156
,,,,0.01,,,2886,
0.0,0,1.0,160384.265625,,500.0,20.0,2886,566.3643188476562
,,,,0.01,,,2887,
0.0,0,1.0,6095.98046875,,500.0,20.0,2887,110.4172134399414
,,,,0.01,,,2888,
0.0,0,1.0,72681.171875,,500.0,20.0,2888,381.2641296386719
,,,,0.01,,,2889,
0.0,0,1.0,3412.48095703125,,500.0,20.0,2889,82.61332702636719
,,,,0.01,,,2890,
0.0,0,1.0,9593.111328125,,500.0,20.0,2890,138.51434326171875
,,,,0.01,,,2891,
0.0,0,1.0,25179.96484375,,500.0,20.0,2891,224.41018676757812
,,,,0.01,,,2892,
0.0,0,1.0,260.3920593261719,,500.0,20.0,2892,22.820695877075195
,,,,0.01,,,2893,
0.0,0,1.0,7925.8583984375,,500.0,20.0,2893,125.90360260009766
,,,,0.01,,,2894,
0.0,0,1.0,15020.794921875,,500.0,20.0,2894,173.32510375976562
,,,,0.01,,,2895,
0.0,0,1.0,20285.96484375,,500.0,20.0,2895,201.42474365234375
,,,,0.01,,,2896,
0.0,0,1.0,100307.875,,500.0,20.0,2896,447.9014892578125
,,,,0.01,,,2897,
0.0,0,1.0,49472.375,,500.0,20.0,2897,314.5548400878906
,,,,0.01,,,2898,
0.0,0,1.0,13.325133323669434,,500.0,20.0,2898,5.162389755249023
,,,,0.01,,,2899,
0.0,0,1.0,1550.103515625,,500.0,20.0,2899,55.67950439453125
,,,,0.01,,,2900,
0.0,0,1.0,46407.40625,,500.0,20.0,2900,304.6552429199219
,,,,0.01,,,2901,
0.0,0,1.0,1940.693359375,,500.0,20.0,2901,62.30077362060547
,,,,0.01,,,2902,
0.0,0,1.0,135182.109375,,500.0,20.0,2902,519.965576171875
,,,,0.01,,,2903,
0.0,0,1.0,57065.0,,500.0,20.0,2903,337.8313293457031
,,,,0.01,,,2904,
0.0,0,1.0,89.4740982055664,,500.0,20.0,2904,13.377152442932129
,,,,0.01,,,2905,
0.0,0,1.0,125826.15625,,500.0,20.0,2905,501.64959716796875
,,,,0.01,,,2906,
0.0,0,1.0,1429.064208984375,,500.0,20.0,2906,53.46146774291992
,,,,0.01,,,2907,
0.0,0,1.0,205.9585418701172,,500.0,20.0,2907,20.295740127563477
,,,,0.01,,,2908,
0.0,0,1.0,9.386837005615234,,500.0,20.0,2908,4.332859992980957
,,,,0.01,,,2909,
0.0,0,1.0,87219.9375,,500.0,20.0,2909,417.6600036621094
,,,,0.01,,,2910,
0.0,0,1.0,400.9034729003906,,500.0,20.0,2910,28.31619644165039
,,,,0.01,,,2911,
0.0,0,1.0,53826.484375,,500.0,20.0,2911,328.1051025390625
,,,,0.01,,,2912,
0.0,0,1.0,339.1728515625,,500.0,20.0,2912,26.04507064819336
,,,,0.01,,,2913,
0.0,0,1.0,6943.552734375,,500.0,20.0,2913,117.84356689453125
,,,,0.01,,,2914,
0.0,0,1.0,91788.859375,,500.0,20.0,2914,428.459716796875
,,,,0.01,,,2915,
0.0,0,1.0,23274.234375,,500.0,20.0,2915,215.75094604492188
,,,,0.01,,,2916,
0.0,0,1.0,31932.5078125,,500.0,20.0,2916,252.7152862548828
,,,,0.01,,,2917,
0.0,0,1.0,25533.34375,,500.0,20.0,2917,225.97940063476562
,,,,0.01,,,2918,
0.0,0,1.0,44196.3671875,,500.0,20.0,2918,297.30914306640625
,,,,0.01,,,2919,
0.0,0,1.0,6442.4296875,,500.0,20.0,2919,113.5114974975586
,,,,0.01,,,2920,
0.0,0,1.0,1321.927001953125,,500.0,20.0,2920,51.41842269897461
,,,,0.01,,,2921,
0.0,0,1.0,40353.35546875,,500.0,20.0,2921,284.08929443359375
,,,,0.01,,,2922,
0.0,0,1.0,60631.7265625,,500.0,20.0,2922,348.2290344238281
,,,,0.01,,,2923,
0.0,0,1.0,4165.5068359375,,500.0,20.0,2923,91.27438354492188
,,,,0.01,,,2924,
0.0,0,1.0,6373.109375,,500.0,20.0,2924,112.89915466308594
,,,,0.01,,,2925,
0.0,0,1.0,1193.47314453125,,500.0,20.0,2925,48.85638427734375
,,,,0.01,,,2926,
0.0,0,1.0,2647.9384765625,,500.0,20.0,2926,72.77277374267578
,,,,0.01,,,2927,
0.0,0,1.0,3459.3525390625,,500.0,20.0,2927,83.17875671386719
,,,,0.01,,,2928,
0.0,0,1.0,2027.0946044921875,,500.0,20.0,2928,63.672515869140625
,,,,0.01,,,2929,
0.0,0,1.0,1947.6939697265625,,500.0,20.0,2929,62.41304397583008
,,,,0.01,,,2930,
0.0,0,1.0,71664.09375,,500.0,20.0,2930,378.58709716796875
,,,,0.01,,,2931,
0.0,0,1.0,67655.9375,,500.0,20.0,2931,367.8476257324219
,,,,0.01,,,2932,
0.0,0,1.0,7.062184810638428,,500.0,20.0,2932,3.7582404613494873
,,,,0.01,,,2933,
0.0,0,1.0,34.3847770690918,,500.0,20.0,2933,8.292741775512695
,,,,0.01,,,2934,
0.0,0,1.0,10218.5166015625,,500.0,20.0,2934,142.95814514160156
,,,,0.01,,,2935,
0.0,0,1.0,66.30628967285156,,500.0,20.0,2935,11.515753746032715
,,,,0.01,,,2936,
0.0,0,1.0,129.32872009277344,,500.0,20.0,2936,16.08283042907715
,,,,0.01,,,2937,
0.0,0,1.0,288.0626220703125,,500.0,20.0,2937,24.002609252929688
,,,,0.01,,,2938,
0.0,0,1.0,35597.125,,500.0,20.0,2938,266.822509765625
,,,,0.01,,,2939,
0.0,0,1.0,2690.677734375,,500.0,20.0,2939,73.35771942138672
,,,,0.01,,,2940,
0.0,0,1.0,52240.06640625,,500.0,20.0,2940,323.2338562011719
,,,,0.01,,,2941,
0.0,0,1.0,7535.1513671875,,500.0,20.0,2941,122.76115417480469
,,,,0.01,,,2942,
0.0,0,1.0,58729.5703125,,500.0,20.0,2942,342.7231140136719
,,,,0.01,,,2943,
0.0,0,1.0,12691.0703125,,500.0,20.0,2943,159.31773376464844
,,,,0.01,,,2944,
0.0,0,1.0,526.8115234375,,500.0,20.0,2944,32.45956039428711
,,,,0.01,,,2945,
0.0,0,1.0,4613.33642578125,,500.0,20.0,2945,96.05557250976562
,,,,0.01,,,2946,
0.0,0,1.0,37959.04296875,,500.0,20.0,2946,275.5323791503906
,,,,0.01,,,2947,
0.0,0,1.0,71.2459716796875,,500.0,20.0,2947,11.936999320983887
,,,,0.01,,,2948,
0.0,0,1.0,35934.1484375,,500.0,20.0,2948,268.0826416015625
,,,,0.01,,,2949,
0.0,0,1.0,50261.1328125,,500.0,20.0,2949,317.0524597167969
,,,,0.01,,,2950,
0.0,0,1.0,19497.78515625,,500.0,20.0,2950,197.47296142578125
,,,,0.01,,,2951,
0.0,0,1.0,2170.092529296875,,500.0,20.0,2951,65.88008117675781
,,,,0.01,,,2952,
0.0,0,1.0,41477.3359375,,500.0,20.0,2952,288.0185241699219
,,,,0.01,,,2953,
0.0,0,1.0,60943.7265625,,500.0,20.0,2953,349.12384033203125
,,,,0.01,,,2954,
0.0,0,1.0,5747.9326171875,,500.0,20.0,2954,107.2187728881836
,,,,0.01,,,2955,
0.0,0,1.0,74617.546875,,500.0,20.0,2955,386.3095703125
,,,,0.01,,,2956,
0.0,0,1.0,36586.4375,,500.0,20.0,2956,270.5048522949219
,,,,0.01,,,2957,
0.0,0,1.0,4661.83984375,,500.0,20.0,2957,96.5592041015625
,,,,0.01,,,2958,
0.0,0,1.0,7931.2841796875,,500.0,20.0,2958,125.94668579101562
,,,,0.01,,,2959,
0.0,0,1.0,1058.377685546875,,500.0,20.0,2959,46.008209228515625
,,,,0.01,,,2960,
0.0,0,1.0,16306.1083984375,,500.0,20.0,2960,180.58853149414062
,,,,0.01,,,2961,
0.0,0,1.0,6016.69140625,,500.0,20.0,2961,109.69676971435547
,,,,0.01,,,2962,
0.0,0,1.0,104456.875,,500.0,20.0,2962,457.0708312988281
,,,,0.01,,,2963,
0.0,0,1.0,74.63108825683594,,500.0,20.0,2963,12.217289924621582
,,,,0.01,,,2964,
0.0,0,1.0,383.0440368652344,,500.0,20.0,2964,27.678295135498047
,,,,0.01,,,2965,
0.0,0,1.0,880.0472412109375,,500.0,20.0,2965,41.9534797668457
,,,,0.01,,,2966,
0.0,0,1.0,19555.927734375,,500.0,20.0,2966,197.76718139648438
,,,,0.01,,,2967,
0.0,0,1.0,442.13580322265625,,500.0,20.0,2967,29.736703872680664
,,,,0.01,,,2968,
0.0,0,1.0,111303.28125,,500.0,20.0,2968,471.8119812011719
,,,,0.01,,,2969,
0.0,0,1.0,57503.375,,500.0,20.0,2969,339.12646484375
,,,,0.01,,,2970,
0.0,0,1.0,55169.4609375,,500.0,20.0,2970,332.17303466796875
,,,,0.01,,,2971,
0.0,0,1.0,6491.419921875,,500.0,20.0,2971,113.94226837158203
,,,,0.01,,,2972,
0.0,0,1.0,89466.140625,,500.0,20.0,2972,423.0038757324219
,,,,0.01,,,2973,
0.0,0,1.0,21005.955078125,,500.0,20.0,2973,204.96807861328125
,,,,0.01,,,2974,
0.0,0,1.0,444.4643859863281,,500.0,20.0,2974,29.814908981323242
,,,,0.01,,,2975,
0.0,0,1.0,69350.0234375,,500.0,20.0,2975,372.424560546875
,,,,0.01,,,2976,
0.0,0,1.0,40776.2109375,,500.0,20.0,2976,285.5738525390625
,,,,0.01,,,2977,
0.0,0,1.0,3175.79736328125,,500.0,20.0,2977,79.69689178466797
,,,,0.01,,,2978,
0.0,0,1.0,39697.1328125,,500.0,20.0,2978,281.7698669433594
,,,,0.01,,,2979,
0.0,0,1.0,19038.3984375,,500.0,20.0,2979,195.13275146484375
,,,,0.01,,,2980,
0.0,0,1.0,91.367919921875,,500.0,20.0,2980,13.517982482910156
,,,,0.01,,,2981,
0.0,0,1.0,46633.3203125,,500.0,20.0,2981,305.3958740234375
,,,,0.01,,,2982,
0.0,0,1.0,104519.6796875,,500.0,20.0,2982,457.2082214355469
,,,,0.01,,,2983,
0.0,0,1.0,26900.8828125,,500.0,20.0,2983,231.9520721435547
,,,,0.01,,,2984,
0.0,0,1.0,21810.763671875,,500.0,20.0,2984,208.857666015625
,,,,0.01,,,2985,
0.0,0,1.0,1032.8441162109375,,500.0,20.0,2985,45.44984436035156
,,,,0.01,,,2986,
0.0,0,1.0,29794.87109375,,500.0,20.0,2986,244.110107421875
,,,,0.01,,,2987,
0.0,0,1.0,16.870140075683594,,500.0,20.0,2987,5.808638572692871
,,,,0.01,,,2988,
0.0,0,1.0,4828.4541015625,,500.0,20.0,2988,98.26957702636719
,,,,0.01,,,2989,
0.0,0,1.0,7808.9013671875,,500.0,20.0,2989,124.97120666503906
,,,,0.01,,,2990,
0.0,0,1.0,2262.238525390625,,500.0,20.0,2990,67.26422882080078
,,,,0.01,,,2991,
0.0,0,1.0,11413.52734375,,500.0,20.0,2991,151.08624267578125
,,,,0.01,,,2992,
0.0,0,1.0,5521.9697265625,,500.0,20.0,2992,105.09014892578125
,,,,0.01,,,2993,
0.0,0,1.0,26925.984375,,500.0,20.0,2993,232.06027221679688
,,,,0.01,,,2994,
0.0,0,1.0,21126.732421875,,500.0,20.0,2994,205.5564727783203
,,,,0.01,,,2995,
0.0,0,1.0,883.23095703125,,500.0,20.0,2995,42.029296875
,,,,0.01,,,2996,
0.0,0,1.0,115811.15625,,500.0,20.0,2996,481.27154541015625
,,,,0.01,,,2997,
0.0,0,1.0,26460.6953125,,500.0,20.0,2997,230.04649353027344
,,,,0.01,,,2998,
0.0,0,1.0,87134.890625,,500.0,20.0,2998,417.4563293457031
,,,,0.01,,,2999,
0.0,0,1.0,71228.8203125,,500.0,20.0,2999,377.43560791015625
,,,,0.01,,,3000,
0.0,0,1.0,111504.9609375,,500.0,20.0,3000,472.2392578125
,,,,0.01,,,3001,
0.0,0,1.0,61811.4921875,,500.0,20.0,3001,351.6006164550781
,,,,0.01,,,3002,
0.0,0,1.0,34737.2890625,,500.0,20.0,3002,263.5802917480469
,,,,0.01,,,3003,
0.0,0,1.0,4085.618896484375,,500.0,20.0,3003,90.3948974609375
,,,,0.01,,,3004,
0.0,0,1.0,9385.6103515625,,500.0,20.0,3004,137.00811767578125
,,,,0.01,,,3005,
0.0,0,1.0,5783.94189453125,,500.0,20.0,3005,107.5541000366211
,,,,0.01,,,3006,
0.0,0,1.0,5761.4794921875,,500.0,20.0,3006,107.34504699707031
,,,,0.01,,,3007,
0.0,0,1.0,287.6635437011719,,500.0,20.0,3007,23.985977172851562
,,,,0.01,,,3008,
0.0,0,1.0,28100.55078125,,500.0,20.0,3008,237.06771850585938
,,,,0.01,,,3009,
0.0,0,1.0,18825.646484375,,500.0,20.0,3009,194.03941345214844
,,,,0.01,,,3010,
0.0,0,1.0,75868.9375,,500.0,20.0,3010,389.5354919433594
,,,,0.01,,,3011,
0.0,0,1.0,183728.59375,,500.0,20.0,3011,606.1824951171875
,,,,0.01,,,3012,
0.0,0,1.0,69432.3046875,,500.0,20.0,3012,372.6454162597656
,,,,0.01,,,3013,
0.0,0,1.0,2070.417236328125,,500.0,20.0,3013,64.34931945800781
,,,,0.01,,,3014,
0.0,0,1.0,29755.04296875,,500.0,20.0,3014,243.94688415527344
,,,,0.01,,,3015,
0.0,0,1.0,13448.673828125,,500.0,20.0,3015,164.0041046142578
,,,,0.01,,,3016,
0.0,0,1.0,35.20331573486328,,500.0,20.0,3016,8.390867233276367
,,,,0.01,,,3017,
0.0,0,1.0,42037.78125,,500.0,20.0,3017,289.9578552246094
,,,,0.01,,,3018,
0.0,0,1.0,245.26626586914062,,500.0,20.0,3018,22.147968292236328
,,,,0.01,,,3019,
0.0,0,1.0,20120.291015625,,500.0,20.0,3019,200.6005401611328
,,,,0.01,,,3020,
0.0,0,1.0,14758.037109375,,500.0,20.0,3020,171.80242919921875
,,,,0.01,,,3021,
0.0,0,1.0,34514.2734375,,500.0,20.0,3021,262.7328186035156
,,,,0.01,,,3022,
0.0,0,1.0,500.3974304199219,,500.0,20.0,3022,31.63534164428711
,,,,0.01,,,3023,
0.0,0,1.0,1246.26171875,,500.0,20.0,3023,49.92517852783203
,,,,0.01,,,3024,
0.0,0,1.0,85891.9140625,,500.0,20.0,3024,414.4681396484375
,,,,0.01,,,3025,
0.0,0,1.0,51736.3828125,,500.0,20.0,3025,321.67181396484375
,,,,0.01,,,3026,
0.0,0,1.0,624.60888671875,,500.0,20.0,3026,35.344276428222656
,,,,0.01,,,3027,
0.0,0,1.0,81663.7421875,,500.0,20.0,3027,404.137939453125
,,,,0.01,,,3028,
0.0,0,1.0,21090.61328125,,500.0,20.0,3028,205.3806915283203
,,,,0.01,,,3029,
0.0,0,1.0,21215.2890625,,500.0,20.0,3029,205.98683166503906
,,,,0.01,,,3030,
0.0,0,1.0,63024.51953125,,500.0,20.0,3030,355.0338439941406
,,,,0.01,,,3031,
0.0,0,1.0,838.6932373046875,,500.0,20.0,3031,40.955909729003906
,,,,0.01,,,3032,
0.0,0,1.0,66614.703125,,500.0,20.0,3032,365.00604248046875
,,,,0.01,,,3033,
0.0,0,1.0,5950.91650390625,,500.0,20.0,3033,109.09552001953125
