train/grad_norm,train/loss_sds,train/max_step,train/loss_normal_consistency,train_params/lambda_normal_consistency,train_params/lambda_sds,lr-Adam,epoch,train/min_step,step
,,,,,,0.01,,,0
354.412841796875,62804.2265625,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,0
,,,,,,0.01,,,1
49.310359954833984,1215.7557373046875,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,1
,,,,,,0.01,,,2
294.613525390625,43398.5625,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,2
,,,,,,0.01,,,3
318.3695983886719,50679.6015625,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,3
,,,,,,0.01,,,4
9.460982322692871,44.755096435546875,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,4
,,,,,,0.01,,,5
14.069911003112793,98.98119354248047,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,5
,,,,,,0.01,,,6
111.08658599853516,6170.11474609375,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,6
,,,,,,0.01,,,7
3.9921531677246094,7.9686431884765625,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,7
,,,,,,0.01,,,8
333.75299072265625,55695.53125,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,8
,,,,,,0.01,,,9
172.99176025390625,14963.07421875,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,9
,,,,,,0.01,,,10
72.40628051757812,2621.3349609375,500.0,0.13830678164958954,10000.0,1.0,,0,20.0,10
,,,,,,0.01,,,11
251.031982421875,31508.52734375,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,11
,,,,,,0.01,,,12
327.11029052734375,53500.5703125,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,12
,,,,,,0.01,,,13
58.23740005493164,1695.79736328125,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,13
,,,,,,0.01,,,14
268.6112060546875,36075.9921875,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,14
,,,,,,0.01,,,15
84.30194854736328,3553.4091796875,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,15
,,,,,,0.01,,,16
390.2847900390625,76161.109375,500.0,0.13830676674842834,10000.0,1.0,,0,20.0,16
