train/loss_sparsity,train_params/lambda_orient,train_params/lambda_normal_smoothness_2d,train_params/lambda_sparsity,train_params/lambda_3d_sd,train_params/lambda_opaque,train/min_step_3d,train/max_step_3d,train/loss_rgb,train_params/lambda_sd,lr-Adam/geometry.feature_network,epoch,train/grad_norm_3d,step,train/loss_opaque,train/max_step,train_params/lambda_rgb,trian/loss_normal_smoothness_2d,train/loss_sd,lr-Adam/geometry.encoding,train_params/lambda_mask,train/min_step,train/loss_sd_3d,train/grad_norm,lr-Adam/geometry.density_network,train/loss_mask
,,,,,,,,,,0.001,,,0,,,,,,0.01,,,,,0.001,
0.258055180311203,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07457450032234192,0.02500000037252903,,0,4.146717071533203,0,0.14153383672237396,600.0,1000.0,0.00020541342382784933,58.638973236083984,,100.0,200.0,8.59762954711914,10.82949447631836,,1.2289881706237793
,,,,,,,,,,0.001,,,1,,,,,,0.01,,,,,0.001,
0.25803276896476746,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07456847280263901,0.02500000037252903,,0,7.625247001647949,1,0.14162905514240265,600.0,1000.0,0.00022697415261063725,127.7418212890625,,100.0,200.0,29.07219696044922,15.983856201171875,,1.2287447452545166
,,,,,,,,,,0.001,,,2,,,,,,0.01,,,,,0.001,
0.257923424243927,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07455603778362274,0.02500000037252903,,0,6.7907562255859375,2,0.1413295865058899,600.0,1000.0,0.0002596492413431406,402.0630187988281,,100.0,200.0,23.057186126708984,28.35711669921875,,1.2290455102920532
,,,,,,,,,,0.001,,,3,,,,,,0.01,,,,,0.001,
0.25796300172805786,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07454666495323181,0.02500000037252903,,0,9.532657623291016,3,0.1413731426000595,600.0,1000.0,0.00023751839762553573,695.1815185546875,,100.0,200.0,45.43578338623047,37.28757095336914,,1.2287161350250244
,,,,,,,,,,0.001,,,4,,,,,,0.01,,,,,0.001,
0.2580799460411072,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.0745437890291214,0.02500000037252903,,0,4.442409992218018,4,0.14137406647205353,600.0,1000.0,0.00023178379342425615,1210.798583984375,,100.0,200.0,9.867504119873047,49.2097282409668,,1.228993535041809
,,,,,,,,,,0.001,,,5,,,,,,0.01,,,,,0.001,
0.2580258846282959,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07453368604183197,0.02500000037252903,,0,8.763915061950684,5,0.1415013074874878,600.0,1000.0,0.00023373941075988114,240.7794189453125,,100.0,200.0,38.403106689453125,21.944448471069336,,1.2289518117904663
,,,,,,,,,,0.001,,,6,,,,,,0.01,,,,,0.001,
0.2580983638763428,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07452244311571121,0.02500000037252903,,0,5.440118789672852,6,0.14165495336055756,600.0,1000.0,0.00016723095905035734,935.6190795898438,,100.0,200.0,14.797445297241211,43.2578125,,1.228804111480713
,,,,,,,,,,0.001,,,7,,,,,,0.01,,,,,0.001,
0.25798797607421875,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07450942695140839,0.02500000037252903,,0,2.1724960803985596,7,0.1416493058204651,600.0,1000.0,0.0002503432915546,620.82958984375,,100.0,200.0,2.3598694801330566,35.237186431884766,,1.228813886642456
,,,,,,,,,,0.001,,,8,,,,,,0.01,,,,,0.001,
0.2580750584602356,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.0744948759675026,0.02500000037252903,,0,4.606278419494629,8,0.14147251844406128,600.0,1000.0,0.00024070742074400187,549.1231079101562,,100.0,200.0,10.60890007019043,33.139801025390625,,1.2283188104629517
,,,,,,,,,,0.001,,,9,,,,,,0.01,,,,,0.001,
0.2579566538333893,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07447448372840881,0.02500000037252903,,0,4.567687034606934,9,0.14142921566963196,600.0,1000.0,0.00024758014478720725,540.6471557617188,,100.0,200.0,10.431882858276367,32.88304138183594,,1.2281346321105957
,,,,,,,,,,0.001,,,10,,,,,,0.01,,,,,0.001,
0.2580304741859436,0.0,1000.0,0.0,1.0,0.0,200.0,600.0,0.07445861399173737,0.02500000037252903,,0,3.9318935871124268,10,0.14119844138622284,600.0,1000.0,0.00020527283777482808,3387.19482421875,,100.0,200.0,7.729893684387207,82.30667877197266,,1.2281404733657837
