lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.0007661534992489488,0.007661534992489494,0.0007661534992489488,1599,,,,,,,,,,,,,,,,,,,,,,,,
,,,1599,0.05996081605553627,0.2672080099582672,0.03330657258629799,0.031201109290122986,0.033935029059648514,0.04051455110311508,0.019292006269097328,0.028973480686545372,234.57057189941406,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4520.0,0,,
0.000747806909678114,0.007478069096781146,0.000747806909678114,1699,,,,,,,,,,,,,,,,,,,,,,,,
,,,1699,0.04921429604291916,0.2548011243343353,0.03419472649693489,0.02925172634422779,0.018273888155817986,0.037849683314561844,0.01464125420898199,0.026156160980463028,244.42897033691406,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4578.0,0,,
0.0007298996541953055,0.007298996541953059,0.0007298996541953055,1799,,,,,,,,,,,,,,,,,,,,,,,,
,,,1799,0.05146978050470352,0.25978946685791016,0.032442543655633926,0.030446860939264297,0.021307146176695824,0.038062505424022675,0.013634320348501205,0.028746049851179123,250.2420196533203,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4643.0,0,,
0.0007124212123471085,0.007124212123471088,0.0007124212123471085,1899,,,,,,,,,,,,,,,,,,,,,,,,
,,,1899,0.0554918572306633,0.263912558555603,0.03346036747097969,0.030764630064368248,0.024752743542194366,0.038630161434412,0.013390839099884033,0.025831423699855804,257.9198913574219,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4779.0,0,,
0.0006953613156067008,0.006953613156067014,0.0006953613156067008,1999,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,0.05433647707104683,0.26217254996299744,0.03478999808430672,0.030109994113445282,0.02126278541982174,0.03644117712974548,0.015378724783658981,0.027252614498138428,261.12335205078125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4828.0,0,,
0.0006787099413411284,0.006787099413411296,0.0006787099413411284,2099,,,,,,,,,,,,,,,,,,,,,,,,
,,,2099,0.04711558669805527,0.2432936280965805,0.03242502361536026,0.029986761510372162,0.023070333525538445,0.0361640565097332,0.012962017208337784,0.02560974285006523,276.0521240234375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4827.0,0,,
0.000662457306923042,0.006624573069230427,0.000662457306923042,2199,,,,,,,,,,,,,,,,,,,,,,,,
,,,2199,0.06053823232650757,0.2645183503627777,0.036413177847862244,0.030653372406959534,0.02367790974676609,0.04090756177902222,0.01606382615864277,0.026792382821440697,278.0876770019531,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4920.0,0,,
0.0006465938639834328,0.006465938639834335,0.0006465938639834328,2299,,,,,,,,,,,,,,,,,,,,,,,,
,,,2299,0.049529824405908585,0.24676139652729034,0.03435732051730156,0.029639724642038345,0.01913801208138466,0.0331086590886116,0.01620752364397049,0.026471268385648727,284.3125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4951.0,0,,
0.0006311102928020011,0.0063111029280200175,0.0006311102928020011,2399,,,,,,,,,,,,,,,,,,,,,,,,
,,,2399,0.04623037576675415,0.2463560700416565,0.035863813012838364,0.030255073681473732,0.02215324528515339,0.039201293140649796,0.01605258323252201,0.02583925984799862,291.9903259277344,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4962.0,0,,
0.0006159974968318482,0.006159974968318494,0.0006159974968318482,2499,,,,,,,,,,,,,,,,,,,,,,,,
,,,2499,0.05632827803492546,0.2610763907432556,0.033496029675006866,0.030897142365574837,0.025955481454730034,0.036946944892406464,0.015222374349832535,0.026102416217327118,302.2942810058594,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4966.0,0,,
0.000601246597355289,0.006012465973552901,0.000601246597355289,2599,,,,,,,,,,,,,,,,,,,,,,,,
,,,2599,0.04487588256597519,0.232051283121109,0.030916348099708557,0.027823803946375847,0.02214628830552101,0.03424258157610893,0.016618305817246437,0.024744650349020958,312.4781188964844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4958.0,0,,
0.0005868489282676302,0.005868489282676306,0.0005868489282676302,2699,,,,,,,,,,,,,,,,,,,,,,,,
,,,2699,0.04896847903728485,0.24251608550548553,0.031777676194906235,0.02814973145723343,0.029293106868863106,0.037415310740470886,0.014949608594179153,0.02482590638101101,317.76678466796875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5003.0,0,,
0.0005727960309858642,0.005727960309858654,0.0005727960309858642,2799,,,,,,,,,,,,,,,,,,,,,,,,
,,,2799,0.05064115673303604,0.2505300045013428,0.028457127511501312,0.027860337868332863,0.021635660901665688,0.03300238400697708,0.0127627644687891,0.024543901905417442,325.03338623046875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5006.0,0,,
0.0005590796494792832,0.005590796494792843,0.0005590796494792832,2899,,,,,,,,,,,,,,,,,,,,,,,,
,,,2899,0.041884440928697586,0.22496414184570312,0.02755706198513508,0.027183782309293747,0.022107016295194626,0.03250226005911827,0.016291741281747818,0.025760482996702194,336.8052062988281,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5049.0,0,,
0.000545691725419082,0.005456917254190826,0.000545691725419082,2999,,,,,,,,,,,,,,,,,,,,,,,,
,,,2999,0.044321153312921524,0.2302868515253067,0.02945181354880333,0.02682558447122574,0.009466621093451977,0.029117150232195854,0.019487224519252777,0.02449791133403778,372.2782287597656,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5161.0,0,,
,,,2999,,,,,,,,,,,,,,,,,,,,,,0,22.131017684936523,
0.0005326243934441199,0.00532624393444121,0.0005326243934441199,3099,,,,,,,,,,,,,,,,,,,,,,,,
,,,3099,0.041793547570705414,0.24312135577201843,0.03185263276100159,0.029036886990070343,0.0016957801999524236,0.024664202705025673,0.01838134229183197,0.026427000761032104,409.4986572265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5083.0,0,,
0.000519869976540049,0.005198699765400499,0.000519869976540049,3199,,,,,,,,,,,,,,,,,,,,,,,,
,,,3199,0.04447070136666298,0.2424243837594986,0.033680133521556854,0.026863107457756996,0.003144653746858239,0.0271796602755785,0.013942210003733635,0.024401888251304626,426.8838195800781,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5203.0,0,,
0.0005074209815290884,0.0050742098152908996,0.0005074209815290884,3299,,,,,,,,,,,,,,,,,,,,,,,,
,,,3299,0.040688689798116684,0.2241246998310089,0.030921315774321556,0.02667667344212532,0.002194126835092902,0.026074429973959923,0.020243363454937935,0.025383591651916504,440.7038879394531,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5186.0,0,,
0.0004952700946678131,0.004952700946678146,0.0004952700946678131,3399,,,,,,,,,,,,,,,,,,,,,,,,
,,,3399,0.04261678084731102,0.22454772889614105,0.028679117560386658,0.025329239666461945,0.0017639159923419356,0.026516517624258995,0.01736387610435486,0.024258028715848923,443.5637512207031,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5237.0,0,,
0.0004834101773503484,0.004834101773503496,0.0004834101773503484,3499,,,,,,,,,,,,,,,,,,,,,,,,
,,,3499,0.04134008288383484,0.22747831046581268,0.030957140028476715,0.025178058072924614,0.0014735959703102708,0.024486925452947617,0.012442301958799362,0.022703751921653748,460.0237121582031,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5295.0,0,,
0.00047183426191446616,0.004718342619144669,0.00047183426191446616,3599,,,,,,,,,,,,,,,,,,,,,,,,
,,,3599,0.040992483496665955,0.2163427621126175,0.02603752538561821,0.02586633339524269,0.0016834947746247053,0.025138743221759796,0.01819336600601673,0.024167872965335846,452.65032958984375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5297.0,0,,
0.00046053554754810433,0.004605355475481049,0.00046053554754810433,3699,,,,,,,,,,,,,,,,,,,,,,,,
,,,3699,0.04124269261956215,0.22151042520999908,0.028569910675287247,0.026489246636629105,0.0028205460403114557,0.025801323354244232,0.018782319501042366,0.022697975859045982,459.91888427734375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5315.0,0,,
0.0004495073962939136,0.004495073962939145,0.0004495073962939136,3799,,,,,,,,,,,,,,,,,,,,,,,,
,,,3799,0.036512646824121475,0.21151897311210632,0.027438227087259293,0.024172412231564522,0.0008622207096777856,0.02215949445962906,0.017557378858327866,0.025440186262130737,472.4970397949219,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5285.0,0,,
0.00043874332914947955,0.0043874332914948,0.00043874332914947955,3899,,,,,,,,,,,,,,,,,,,,,,,,
,,,3899,0.03654734790325165,0.20799607038497925,0.02598658576607704,0.023796623572707176,0.0026372973807156086,0.02525019459426403,0.01679290644824505,0.023474056273698807,479.887451171875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5329.0,0,,
0.0004282370222609282,0.004282370222609286,0.0004282370222609282,3999,,,,,,,,,,,,,,,,,,,,,,,,
,,,3999,0.03987894952297211,0.225214421749115,0.02823599986732006,0.024305419996380806,0.0025068153627216816,0.02575625106692314,0.01789139211177826,0.02308686636388302,482.57794189453125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5331.0,0,,
0.0004179823032076846,0.004179823032076844,0.0004179823032076846,4099,,,,,,,,,,,,,,,,,,,,,,,,
,,,4099,0.03724817559123039,0.20731934905052185,0.0262968260794878,0.024894673377275467,0.0014453282346948981,0.0243874229490757,0.019186388701200485,0.0267304927110672,486.3568420410156,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5395.0,0,,
0.00040797314737619497,0.004079731473761952,0.00040797314737619497,4199,,,,,,,,,,,,,,,,,,,,,,,,
,,,4199,0.042305801063776016,0.21448369324207306,0.027089152485132217,0.025309059768915176,0.003349263221025467,0.026416083797812462,0.017819739878177643,0.023472532629966736,497.6400451660156,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5387.0,0,,
0.0003982036744204882,0.003982036744204886,0.0003982036744204882,4299,,,,,,,,,,,,,,,,,,,,,,,,
,,,4299,0.03712764382362366,0.21291697025299072,0.024336040019989014,0.023222729563713074,0.00100666971411556,0.02414133958518505,0.020069757476449013,0.025037182494997978,496.70220947265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5418.0,0,,
0.0003886681448074893,0.003886681448074897,0.0003886681448074893,4399,,,,,,,,,,,,,,,,,,,,,,,,
