Wall time,Step,Value
1701700622.1344123,18,267.32763671875
1701700624.911046,24,534.4016723632812
1701700632.3227825,40,168.05950927734375
1701700633.2437956,42,2.169394016265869
1701700634.629554,45,325.37762451171875
1701700639.7461107,56,35.56330871582031
1701700646.829356,71,0.1687920242547989
1701700648.2599866,74,422.23095703125
1701700657.713116,94,330.409423828125
1701700663.3782854,106,63.91655349731445
1701700673.102234,126,0.31176114082336426
1701700687.1862092,155,173.14295959472656
1701700688.6590202,158,803.287353515625
1701700693.0849798,167,3.312162160873413
1701700700.9697826,183,8.484528541564941
1701700701.9371586,185,270.8509216308594
1701700723.9084265,229,14.422386169433594
1701700726.2719293,234,180.44642639160156
1701700733.3459883,249,439.3674621582031
1701700736.1477315,255,50.30145263671875
1701700738.509214,260,21.721364974975586
1701700741.7802484,267,93.59083557128906
1701700744.5530329,273,92.02389526367188
1701700760.8647912,308,52.12681198120117
1701700761.8023357,310,197.95518493652344
1701700765.5653844,318,44.036964416503906
1701700775.347574,339,268.42901611328125
1701700779.0706136,347,877.5230102539062
1701700788.3944974,367,90.60847473144531
1701700813.7824416,421,499.3831787109375
1701700814.2502615,422,555.7218017578125
1701700822.1748393,439,504.63531494140625
1701700823.5585282,442,246.2734832763672
1701700824.9444745,445,345.01922607421875
1701700831.9388971,460,720.2440185546875
1701700833.3343503,463,156.21246337890625
1701700833.8003862,464,55.216270446777344
1701700838.462794,474,423.0033264160156
1701700847.3249102,493,67.09832763671875
1701700857.1094697,514,248.69952392578125
1701700865.0319815,531,193.0367431640625
1701700867.3684516,536,582.5596923828125
1701700879.964047,563,405.42095947265625
1701700884.6148043,573,0.20313888788223267
1701700887.4128633,579,61.695213317871094
1701700890.671765,586,399.6231689453125
1701700891.135183,587,210.9934844970703
1701700906.6953986,620,394.340576171875
1701700907.6238444,622,718.4484252929688
1701700913.2145507,634,1158.339111328125
1701700916.4777694,641,415.41326904296875
1701700916.9433813,642,1041.178466796875
1701700917.8744109,644,635.26904296875
1701700919.2768772,647,667.829833984375
1701700920.206302,649,252.88385009765625
1701700925.8019664,661,268.85443115234375
1701700930.4581885,671,463.3145751953125
1701700950.5053053,714,793.9403686523438
1701700954.2371962,722,142.14285278320312
1701700957.957133,730,794.0099487304688
1701700962.1489556,739,687.2154541015625
1701700968.207341,752,9.577371597290039
1701700970.0767121,756,169.51548767089844
1701700974.261872,765,770.7315673828125
1701700976.1263463,769,130.99859619140625
1701700977.0598874,771,13.673725128173828
1701700977.9879375,773,33.1290283203125
1701700981.2510564,780,30.619041442871094
1701700983.5817819,785,902.5763549804688
1701700984.5179675,787,892.8837890625
1701700986.835146,792,171.00076293945312
1701700987.77222,794,9.390393257141113
1701700989.6358747,798,371.6813659667969
1701700991.6753588,802,103.40072631835938
1701700994.4728417,808,41.18199920654297
1701700994.940789,809,10.73859977722168
1701701005.6672804,832,502.01043701171875
1701701007.5316522,836,284.294189453125
1701701022.9136138,869,346.07354736328125
1701701026.1707208,876,253.2158660888672
1701701028.9913304,882,541.9990234375
1701701035.507547,896,4.134038925170898
1701701037.3688257,900,34.62641525268555
1701701040.6349351,907,227.55984497070312
1701701041.5602715,909,251.94375610351562
1701701045.2883441,917,167.36386108398438
1701701051.817252,931,938.2511596679688
1701701052.278,932,684.8670654296875
1701701056.945268,942,192.24795532226562
1701701058.3384795,945,38.18695831298828
1701701062.5368824,954,1.008490800857544
1701701066.2556782,962,321.9146423339844
1701701070.452816,971,1.4094653129577637
1701701070.9198942,972,95.96277618408203
1701701073.721166,978,1025.71923828125
1701701074.1859837,979,255.0703887939453
1701701076.5156126,984,6.213801860809326
1701701085.0461695,1002,1629.75634765625
1701701086.4428775,1005,522.024658203125
1701701090.6357517,1014,50.169464111328125
1701701104.6302943,1044,43.726966857910156
1701701110.6903765,1057,1537.44677734375
1701701113.4888833,1063,0.10286171734333038
1701701114.8828983,1066,22.579021453857422
1701701115.810448,1068,820.236083984375
1701701117.6787417,1072,2.881866931915283
1701701120.46928,1078,55.852237701416016
1701701122.8020356,1083,742.0601806640625
1701701127.4598856,1093,44.058006286621094
1701701130.2456608,1099,530.8236694335938
