lr-Adam/geometry,train/min_step,train_params/lambda_sds,train/loss_sparsity,train/loss_sds,train/loss_opaque,step,train_params/lambda_opaque,train_params/lambda_orient,train/grad_norm,lr-Adam/background,epoch,train_params/lambda_sparsity,train/loss_orient,train/max_step
0.01,,,,,,31,,,,0.001,,,,
,20.0,1.0,0.3760658800601959,160.07125854492188,0.25551605224609375,31,0.0,16.13800048828125,17.892526626586914,,0,1.0,0.017768220975995064,980.0
0.01,,,,,,32,,,,0.001,,,,
,20.0,1.0,0.297088086605072,4.281778812408447,0.19465747475624084,32,0.0,16.336000442504883,2.9263556003570557,,0,1.0,0.015890024602413177,980.0
0.01,,,,,,33,,,,0.001,,,,
,20.0,1.0,0.3415597081184387,366.99554443359375,0.23630698025226593,33,0.0,16.534000396728516,27.092269897460938,,0,1.0,0.01755673438310623,980.0
0.01,,,,,,34,,,,0.001,,,,
,20.0,1.0,0.3387751877307892,0.46671062707901,0.23971349000930786,34,0.0,16.73200035095215,0.9661372900009155,,0,1.0,0.01678803190588951,980.0
0.01,,,,,,35,,,,0.001,,,,
,20.0,1.0,0.24924039840698242,249.84259033203125,0.15645632147789001,35,0.0,16.93000030517578,22.353639602661133,,0,1.0,0.015751734375953674,980.0
0.01,,,,,,36,,,,0.001,,,,
,20.0,1.0,0.22285130620002747,79.21246337890625,0.1275692582130432,36,0.0,17.128000259399414,12.58669662475586,,0,1.0,0.016796745359897614,980.0
0.01,,,,,,37,,,,0.001,,,,
,20.0,1.0,0.2566860318183899,0.03170860931277275,0.1509384959936142,37,0.0,17.326000213623047,0.2518277168273926,,0,1.0,0.01836533471941948,980.0
0.01,,,,,,38,,,,0.001,,,,
,20.0,1.0,0.30773428082466125,423.93914794921875,0.21028554439544678,38,0.0,17.52400016784668,29.118349075317383,,0,1.0,0.016900451853871346,980.0
0.01,,,,,,39,,,,0.001,,,,
,20.0,1.0,0.39565423130989075,0.24514994025230408,0.23281726241111755,39,0.0,17.722000122070312,0.7002142071723938,,0,1.0,0.021829357370734215,980.0
0.01,,,,,,40,,,,0.001,,,,
,20.0,1.0,0.24438360333442688,188.42584228515625,0.14973604679107666,40,0.0,17.920000076293945,19.412668228149414,,0,1.0,0.016280848532915115,980.0
0.01,,,,,,41,,,,0.001,,,,
,20.0,1.0,0.2918999493122101,395.9371032714844,0.155333012342453,41,0.0,18.118000030517578,28.1402587890625,,0,1.0,0.020128218457102776,980.0
0.01,,,,,,42,,,,0.001,,,,
,20.0,1.0,0.30520904064178467,5.675062656402588,0.20804257690906525,42,0.0,18.31599998474121,3.36899471282959,,0,1.0,0.016349103301763535,980.0
0.01,,,,,,43,,,,0.001,,,,
,20.0,1.0,0.2686368525028229,214.144287109375,0.16971400380134583,43,0.0,18.513999938964844,20.695133209228516,,0,1.0,0.01652086339890957,980.0
0.01,,,,,,44,,,,0.001,,,,
,20.0,1.0,0.3503558337688446,0.23003463447093964,0.24303068220615387,44,0.0,18.711999893188477,0.6782841086387634,,0,1.0,0.0187847837805748,980.0
0.01,,,,,,45,,,,0.001,,,,
,20.0,1.0,0.21938031911849976,532.0607299804688,0.12464338541030884,45,0.0,18.90999984741211,32.62087631225586,,0,1.0,0.01587591879069805,980.0
0.01,,,,,,46,,,,0.001,,,,
,20.0,1.0,0.3620608448982239,317.2547607421875,0.217847540974617,46,0.0,19.107999801635742,25.189472198486328,,0,1.0,0.021724853664636612,980.0
0.01,,,,,,47,,,,0.001,,,,
,20.0,1.0,0.4605177044868469,12.914552688598633,0.29895222187042236,47,0.0,19.305999755859375,5.0822343826293945,,0,1.0,0.020884763449430466,980.0
0.01,,,,,,48,,,,0.001,,,,
,20.0,1.0,0.2346564680337906,233.67495727539062,0.13603979349136353,48,0.0,19.503999710083008,21.618276596069336,,0,1.0,0.016963446512818336,980.0
0.01,,,,,,49,,,,0.001,,,,
,20.0,1.0,0.20465156435966492,97.3530044555664,0.10714264214038849,49,0.0,19.70199966430664,13.953709602355957,,0,1.0,0.016327062621712685,980.0
0.01,,,,,,50,,,,0.001,,,,
,20.0,1.0,0.43171876668930054,3.187252998352051,0.24375787377357483,50,0.0,19.899999618530273,2.524778366088867,,0,1.0,0.022511372342705727,980.0
0.01,,,,,,51,,,,0.001,,,,
,20.0,1.0,0.2762851119041443,0.026866331696510315,0.1810988485813141,51,0.0,20.097999572753906,0.2318030595779419,,0,1.0,0.01641479693353176,980.0
0.01,,,,,,52,,,,0.001,,,,
,20.0,1.0,0.24509134888648987,208.15188598632812,0.14380277693271637,52,0.0,20.29599952697754,20.40352439880371,,0,1.0,0.0164426788687706,980.0
0.01,,,,,,53,,,,0.001,,,,
,20.0,1.0,0.2471093237400055,816.4552001953125,0.14877024292945862,53,0.0,20.493999481201172,40.40928649902344,,0,1.0,0.015652695670723915,980.0
0.01,,,,,,54,,,,0.001,,,,
,20.0,1.0,0.2799123525619507,271.3917236328125,0.1711219698190689,54,0.0,20.691999435424805,23.297714233398438,,0,1.0,0.018806464970111847,980.0
0.01,,,,,,55,,,,0.001,,,,
,20.0,1.0,0.33444657921791077,230.4905242919922,0.2296161949634552,55,0.0,20.889999389648438,21.470468521118164,,0,1.0,0.01626323163509369,980.0
0.01,,,,,,56,,,,0.001,,,,
,20.0,1.0,0.4364331364631653,27.175697326660156,0.25582998991012573,56,0.0,21.08799934387207,7.372339725494385,,0,1.0,0.021232234314084053,980.0
0.01,,,,,,57,,,,0.001,,,,
,20.0,1.0,0.4268268942832947,895.1417846679688,0.28795796632766724,57,0.0,21.285999298095703,42.31174087524414,,0,1.0,0.019104503095149994,980.0
0.01,,,,,,58,,,,0.001,,,,
,20.0,1.0,0.25324612855911255,365.3605651855469,0.14166536927223206,58,0.0,21.483999252319336,27.0318546295166,,0,1.0,0.0191830825060606,980.0
0.01,,,,,,59,,,,0.001,,,,
,20.0,1.0,0.2069692313671112,717.948486328125,0.09977102279663086,59,0.0,21.68199920654297,37.89323043823242,,0,1.0,0.01847677491605282,980.0
0.01,,,,,,60,,,,0.001,,,,
,20.0,1.0,0.5326893329620361,1006.9710693359375,0.3509443998336792,60,0.0,21.8799991607666,44.87696838378906,,0,1.0,0.02138666808605194,980.0
0.01,,,,,,61,,,,0.001,,,,
,20.0,1.0,0.259612113237381,446.25738525390625,0.15215305984020233,61,0.0,22.077999114990234,29.87498664855957,,0,1.0,0.016685107722878456,980.0
0.01,,,,,,62,,,,0.001,,,,
,20.0,1.0,0.3605263829231262,522.5279541015625,0.23954430222511292,62,0.0,22.275999069213867,32.32732391357422,,0,1.0,0.0177143644541502,980.0
0.01,,,,,,63,,,,0.001,,,,
,20.0,1.0,0.24858856201171875,271.82659912109375,0.1442776918411255,63,0.0,22.474000930786133,23.31637191772461,,0,1.0,0.017022762447595596,980.0
0.01,,,,,,64,,,,0.001,,,,
,20.0,1.0,0.2117295265197754,8.563791275024414,0.1104237288236618,64,0.0,22.672000885009766,4.138548374176025,,0,1.0,0.018427817150950432,980.0
0.01,,,,,,65,,,,0.001,,,,
,20.0,1.0,0.24165277183055878,10.33427619934082,0.1401539295911789,65,0.0,22.8700008392334,4.546267986297607,,0,1.0,0.01634732075035572,980.0
0.01,,,,,,66,,,,0.001,,,,
,20.0,1.0,0.22556498646736145,301.70867919921875,0.12161798775196075,66,0.0,23.06800079345703,24.56455421447754,,0,1.0,0.01659419760107994,980.0
0.01,,,,,,67,,,,0.001,,,,
,20.0,1.0,0.3738561272621155,535.62255859375,0.2199079692363739,67,0.0,23.266000747680664,32.729881286621094,,0,1.0,0.019759800285100937,980.0
0.01,,,,,,68,,,,0.001,,,,
,20.0,1.0,0.29956695437431335,3.9437615871429443,0.1867246776819229,68,0.0,23.464000701904297,2.8084733486175537,,0,1.0,0.018506817519664764,980.0
0.01,,,,,,69,,,,0.001,,,,
,20.0,1.0,0.4676626920700073,558.736083984375,0.28764861822128296,69,0.0,23.66200065612793,33.428611755371094,,0,1.0,0.02342834137380123,980.0
0.01,,,,,,70,,,,0.001,,,,
,20.0,1.0,0.4865780770778656,234.31549072265625,0.3534875512123108,70,0.0,23.860000610351562,21.647886276245117,,0,1.0,0.020559972152113914,980.0
0.01,,,,,,71,,,,0.001,,,,
,20.0,1.0,0.2603166401386261,0.12117330729961395,0.15901389718055725,71,0.0,24.058000564575195,0.49228712916374207,,0,1.0,0.016293471679091454,980.0
0.01,,,,,,72,,,,0.001,,,,
,20.0,1.0,0.3627711534500122,5.683527946472168,0.19099214673042297,72,0.0,24.256000518798828,3.371506452560425,,0,1.0,0.02283259481191635,980.0
0.01,,,,,,73,,,,0.001,,,,
,20.0,1.0,0.28721070289611816,2.0357518196105957,0.1852397322654724,73,0.0,24.45400047302246,2.017796754837036,,0,1.0,0.018667759373784065,980.0
0.01,,,,,,74,,,,0.001,,,,
,20.0,1.0,0.3487348258495331,307.67364501953125,0.22049081325531006,74,0.0,24.652000427246094,24.806194305419922,,0,1.0,0.020416446030139923,980.0
0.01,,,,,,75,,,,0.001,,,,
,20.0,1.0,0.23235978186130524,1188.53125,0.13022273778915405,75,0.0,24.850000381469727,48.755126953125,,0,1.0,0.019649749621748924,980.0
0.01,,,,,,76,,,,0.001,,,,
,20.0,1.0,0.19808077812194824,296.99908447265625,0.10151051729917526,76,0.0,25.04800033569336,24.3720760345459,,0,1.0,0.018895378336310387,980.0
0.01,,,,,,77,,,,0.001,,,,
,20.0,1.0,0.43155401945114136,6.815576553344727,0.3085426688194275,77,0.0,25.246000289916992,3.6920392513275146,,0,1.0,0.020653927698731422,980.0
0.01,,,,,,78,,,,0.001,,,,
,20.0,1.0,0.18682049214839935,255.8170928955078,0.08930450677871704,78,0.0,25.444000244140625,22.61933135986328,,0,1.0,0.016953464597463608,980.0
0.01,,,,,,79,,,,0.001,,,,
,20.0,1.0,0.4429505169391632,372.2210388183594,0.2795015275478363,79,0.0,25.642000198364258,27.28446388244629,,0,1.0,0.02094753086566925,980.0
0.01,,,,,,80,,,,0.001,,,,
,20.0,1.0,0.23791192471981049,4.6466383934021,0.13792183995246887,80,0.0,25.84000015258789,3.048487663269043,,0,1.0,0.01764836348593235,980.0
0.01,,,,,,81,,,,0.001,,,,
,20.0,1.0,0.36536332964897156,227.58473205566406,0.23430968821048737,81,0.0,26.038000106811523,21.334701538085938,,0,1.0,0.021525271236896515,980.0
0.01,,,,,,82,,,,0.001,,,,
,20.0,1.0,0.2335355132818222,169.32958984375,0.11515780538320541,82,0.0,26.236000061035156,18.402694702148438,,0,1.0,0.021060125902295113,980.0
0.01,,,,,,83,,,,0.001,,,,
,20.0,1.0,0.20539729297161102,663.841552734375,0.10586180537939072,83,0.0,26.43400001525879,36.43738555908203,,0,1.0,0.017097238451242447,980.0
0.01,,,,,,84,,,,0.001,,,,
,20.0,1.0,0.19604825973510742,181.30323791503906,0.09773873537778854,84,0.0,26.631999969482422,19.04222869873047,,0,1.0,0.017215818166732788,980.0
0.01,,,,,,85,,,,0.001,,,,
,20.0,1.0,0.23912042379379272,79.79428100585938,0.1385665237903595,85,0.0,26.829999923706055,12.63283634185791,,0,1.0,0.019496748223900795,980.0
0.01,,,,,,86,,,,0.001,,,,
,20.0,1.0,0.27876779437065125,540.7679443359375,0.15985797345638275,86,0.0,27.027999877929688,32.88671112060547,,0,1.0,0.020007984712719917,980.0
0.01,,,,,,87,,,,0.001,,,,
,20.0,1.0,0.3435835838317871,21.840312957763672,0.21456903219223022,87,0.0,27.22599983215332,6.609131813049316,,0,1.0,0.020227324217557907,980.0
0.01,,,,,,88,,,,0.001,,,,
,20.0,1.0,0.31139928102493286,74.37046813964844,0.18604770302772522,88,0.0,27.423999786376953,12.195939064025879,,0,1.0,0.02245238982141018,980.0
0.01,,,,,,89,,,,0.001,,,,
,20.0,1.0,0.2885609567165375,1.2045000791549683,0.17536130547523499,89,0.0,27.621999740600586,1.5520955324172974,,0,1.0,0.020266035571694374,980.0
0.01,,,,,,90,,,,0.001,,,,
,20.0,1.0,0.23250973224639893,0.1962762475013733,0.12719908356666565,90,0.0,27.81999969482422,0.6265401244163513,,0,1.0,0.01857430674135685,980.0
0.01,,,,,,91,,,,0.001,,,,
,20.0,1.0,0.3821561336517334,1844.7369384765625,0.25650832056999207,91,0.0,28.01799964904785,60.74103927612305,,0,1.0,0.019597677513957024,980.0
0.01,,,,,,92,,,,0.001,,,,
,20.0,1.0,0.30100294947624207,15.431339263916016,0.18575909733772278,92,0.0,28.215999603271484,5.555418968200684,,0,1.0,0.020040035247802734,980.0
0.01,,,,,,93,,,,0.001,,,,
,20.0,1.0,0.20901402831077576,492.5801696777344,0.1070651113986969,93,0.0,28.413999557495117,31.387264251708984,,0,1.0,0.017791979014873505,980.0
0.01,,,,,,94,,,,0.001,,,,
,20.0,1.0,0.2187442183494568,1181.431884765625,0.11870449781417847,94,0.0,28.61199951171875,48.60929870605469,,0,1.0,0.018225841224193573,980.0
0.01,,,,,,95,,,,0.001,,,,
,20.0,1.0,0.2858438491821289,418.30303955078125,0.17683836817741394,95,0.0,28.809999465942383,28.924144744873047,,0,1.0,0.018194997683167458,980.0
0.01,,,,,,96,,,,0.001,,,,
,20.0,1.0,0.339783638715744,0.0740949958562851,0.22873443365097046,96,0.0,29.007999420166016,0.3849544823169708,,0,1.0,0.018158409744501114,980.0
0.01,,,,,,97,,,,0.001,,,,
,20.0,1.0,0.3571614623069763,92.41482543945312,0.22864879667758942,97,0.0,29.20599937438965,13.595207214355469,,0,1.0,0.02201300673186779,980.0
0.01,,,,,,98,,,,0.001,,,,
,20.0,1.0,0.23145677149295807,69.31544494628906,0.13076987862586975,98,0.0,29.40399932861328,11.774162292480469,,0,1.0,0.018508287146687508,980.0
0.01,,,,,,99,,,,0.001,,,,
,20.0,1.0,0.20541691780090332,889.4031982421875,0.10615426301956177,99,0.0,29.601999282836914,42.175899505615234,,0,1.0,0.019468922168016434,980.0
0.01,,,,,,100,,,,0.001,,,,
,20.0,1.0,0.27418532967567444,487.05584716796875,0.1651044487953186,100,0.0,29.799999237060547,31.21076202392578,,0,1.0,0.01809941604733467,980.0
0.01,,,,,,101,,,,0.001,,,,
,20.0,1.0,0.2700102627277374,45.024288177490234,0.17024725675582886,101,0.0,29.99799919128418,9.48939323425293,,0,1.0,0.017285214737057686,980.0
0.01,,,,,,102,,,,0.001,,,,
,20.0,1.0,0.21448735892772675,99.968994140625,0.10363864153623581,102,0.0,30.195999145507812,14.13994312286377,,0,1.0,0.0193089097738266,980.0
0.01,,,,,,103,,,,0.001,,,,
,20.0,1.0,0.2628514766693115,18.04663848876953,0.1247616708278656,103,0.0,30.393999099731445,6.007768154144287,,0,1.0,0.020517421886324883,980.0
0.01,,,,,,104,,,,0.001,,,,
,20.0,1.0,0.24969837069511414,23.225696563720703,0.14266960322856903,104,0.0,30.591999053955078,6.815526008605957,,0,1.0,0.019891509786248207,980.0
0.01,,,,,,105,,,,0.001,,,,
,20.0,1.0,0.45625752210617065,728.014892578125,0.28058063983917236,105,0.0,30.790000915527344,38.157958984375,,0,1.0,0.022534631192684174,980.0
0.01,,,,,,106,,,,0.001,,,,
,20.0,1.0,0.2776449918746948,176.6019287109375,0.17095232009887695,106,0.0,30.988000869750977,18.793718338012695,,0,1.0,0.018226148560643196,980.0
0.01,,,,,,107,,,,0.001,,,,
,20.0,1.0,0.3220895528793335,90.5036392211914,0.18892355263233185,107,0.0,31.18600082397461,13.45389461517334,,0,1.0,0.023563416674733162,980.0
0.01,,,,,,108,,,,0.001,,,,
,20.0,1.0,0.25229182839393616,202.94143676757812,0.14755655825138092,108,0.0,31.384000778198242,20.146535873413086,,0,1.0,0.019361786544322968,980.0
0.01,,,,,,109,,,,0.001,,,,
,20.0,1.0,0.32603880763053894,1562.963623046875,0.2109156847000122,109,0.0,31.582000732421875,55.90999221801758,,0,1.0,0.017368214204907417,980.0
0.01,,,,,,110,,,,0.001,,,,
,20.0,1.0,0.2987440228462219,1305.7255859375,0.18070480227470398,110,0.0,31.780000686645508,51.102359771728516,,0,1.0,0.023083437234163284,980.0
0.01,,,,,,111,,,,0.001,,,,
,20.0,1.0,0.3908230662345886,843.6920166015625,0.2386731505393982,111,0.0,31.97800064086914,41.077781677246094,,0,1.0,0.024201907217502594,980.0
0.01,,,,,,112,,,,0.001,,,,
,20.0,1.0,0.2756156325340271,256.424560546875,0.16460612416267395,112,0.0,32.17599868774414,22.64617156982422,,0,1.0,0.019204549491405487,980.0
0.01,,,,,,113,,,,0.001,,,,
,20.0,1.0,0.28325361013412476,250.68630981445312,0.17359350621700287,113,0.0,32.374000549316406,22.3913516998291,,0,1.0,0.021929772570729256,980.0
0.01,,,,,,114,,,,0.001,,,,
,20.0,1.0,0.28030169010162354,160.13180541992188,0.17339396476745605,114,0.0,32.571998596191406,17.895910263061523,,0,1.0,0.018930179998278618,980.0
0.01,,,,,,115,,,,0.001,,,,
,20.0,1.0,0.5125328302383423,1.7900999784469604,0.3070022463798523,115,0.0,32.77000045776367,1.892141580581665,,0,1.0,0.02488602325320244,980.0
0.01,,,,,,116,,,,0.001,,,,
,20.0,1.0,0.2266424298286438,249.8953857421875,0.12149477005004883,116,0.0,32.96799850463867,22.356000900268555,,0,1.0,0.01910964399576187,980.0
0.01,,,,,,117,,,,0.001,,,,
,20.0,1.0,0.28781434893608093,0.4680795967578888,0.1745363473892212,117,0.0,33.16600036621094,0.9675532579421997,,0,1.0,0.019489794969558716,980.0
0.01,,,,,,118,,,,0.001,,,,
,20.0,1.0,0.2859776020050049,171.2053985595703,0.17679421603679657,118,0.0,33.36399841308594,18.504344940185547,,0,1.0,0.019307173788547516,980.0
0.01,,,,,,119,,,,0.001,,,,
,20.0,1.0,0.3597668409347534,201.94598388671875,0.2240154892206192,119,0.0,33.5620002746582,20.097063064575195,,0,1.0,0.02341235801577568,980.0
0.01,,,,,,120,,,,0.001,,,,
,20.0,1.0,0.2508564293384552,228.7747039794922,0.14532601833343506,120,0.0,33.7599983215332,21.390403747558594,,0,1.0,0.021170569583773613,980.0
0.01,,,,,,121,,,,0.001,,,,
,20.0,1.0,0.3341629207134247,484.04534912109375,0.21679775416851044,121,0.0,33.95800018310547,31.11415672302246,,0,1.0,0.022273225709795952,980.0
0.01,,,,,,122,,,,0.001,,,,
,20.0,1.0,0.19123421609401703,13.953144073486328,0.09060235321521759,122,0.0,34.15599822998047,5.28264045715332,,0,1.0,0.021074574440717697,980.0
0.01,,,,,,123,,,,0.001,,,,
,20.0,1.0,0.2780383825302124,787.590576171875,0.16421762108802795,123,0.0,34.354000091552734,39.68855285644531,,0,1.0,0.020531371235847473,980.0
0.01,,,,,,124,,,,0.001,,,,
,20.0,1.0,0.234345942735672,5.887519836425781,0.1339038610458374,124,0.0,34.551998138427734,3.4314777851104736,,0,1.0,0.02032461017370224,980.0
0.01,,,,,,125,,,,0.001,,,,
,20.0,1.0,0.4614947736263275,34.23473358154297,0.326834499835968,125,0.0,34.75,8.274627685546875,,0,1.0,0.022707657888531685,980.0
0.01,,,,,,126,,,,0.001,,,,
,20.0,1.0,0.33421117067337036,0.005456685088574886,0.22268763184547424,126,0.0,34.948001861572266,0.10446708649396896,,0,1.0,0.02019815891981125,980.0
0.01,,,,,,127,,,,0.001,,,,
,20.0,1.0,0.2276313602924347,89.98707580566406,0.12254989147186279,127,0.0,35.145999908447266,13.415444374084473,,0,1.0,0.020403198897838593,980.0
0.01,,,,,,128,,,,0.001,,,,
,20.0,1.0,0.29717978835105896,0.007731758989393711,0.1753821223974228,128,0.0,35.34400177001953,0.12435239553451538,,0,1.0,0.02279164269566536,980.0
0.01,,,,,,129,,,,0.001,,,,
,20.0,1.0,0.292208731174469,0.034703560173511505,0.1775987148284912,129,0.0,35.54199981689453,0.26345232129096985,,0,1.0,0.02085256017744541,980.0
0.01,,,,,,130,,,,0.001,,,,
,20.0,1.0,0.27140718698501587,11.282747268676758,0.16051356494426727,130,0.0,35.7400016784668,4.750315189361572,,0,1.0,0.022960495203733444,980.0
0.01,,,,,,131,,,,0.001,,,,
,20.0,1.0,0.2880202531814575,499.231689453125,0.1731041818857193,131,0.0,35.9379997253418,31.59847068786621,,0,1.0,0.0214897021651268,980.0
0.01,,,,,,132,,,,0.001,,,,
,20.0,1.0,0.2780408263206482,0.18641483783721924,0.17162635922431946,132,0.0,36.13600158691406,0.6105977892875671,,0,1.0,0.02178371697664261,980.0
0.01,,,,,,133,,,,0.001,,,,
,20.0,1.0,0.19179490208625793,14.884931564331055,0.09046836942434311,133,0.0,36.33399963378906,5.4561767578125,,0,1.0,0.019874412566423416,980.0
0.01,,,,,,134,,,,0.001,,,,
,20.0,1.0,0.25516965985298157,388.58935546875,0.14809642732143402,134,0.0,36.53200149536133,27.877925872802734,,0,1.0,0.02151995338499546,980.0
0.01,,,,,,135,,,,0.001,,,,
,20.0,1.0,0.3376648426055908,10.54695987701416,0.1986551284790039,135,0.0,36.72999954223633,4.592811584472656,,0,1.0,0.023067688569426537,980.0
0.01,,,,,,136,,,,0.001,,,,
,20.0,1.0,0.3296157717704773,182.9925537109375,0.20910003781318665,136,0.0,36.928001403808594,19.130739212036133,,0,1.0,0.019573908299207687,980.0
0.01,,,,,,137,,,,0.001,,,,
