lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.0007661534992489488,0.007661534992489494,0.0007661534992489488,1599,,,,,,,,,,,,,,,,,,,,,,,,
,,,1599,0.057287950068712234,0.27870020270347595,0.015437761321663857,0.015993807464838028,0.000680377590470016,0.01858835481107235,0.005979637615382671,0.014815084636211395,297.4501647949219,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000747806909678114,0.007478069096781146,0.000747806909678114,1699,,,,,,,,,,,,,,,,,,,,,,,,
,,,1699,0.05582056939601898,0.2741309702396393,0.016587646678090096,0.01453213021159172,0.000674962589982897,0.019309431314468384,0.004873084835708141,0.013714568689465523,289.6920471191406,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007298996541953055,0.007298996541953059,0.0007298996541953055,1799,,,,,,,,,,,,,,,,,,,,,,,,
,,,1799,0.05890088528394699,0.28967389464378357,0.016254190355539322,0.014700977131724358,0.0006817483808845282,0.020118527114391327,0.005441292189061642,0.014204755425453186,303.4305419921875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007124212123471085,0.007124212123471088,0.0007124212123471085,1899,,,,,,,,,,,,,,,,,,,,,,,,
,,,1899,0.05236491933465004,0.27040109038352966,0.016386015340685844,0.014758067205548286,0.0006784097640775144,0.018411682918667793,0.005040301010012627,0.013416916131973267,300.5727844238281,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006953613156067008,0.006953613156067014,0.0006953613156067008,1999,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,0.05116913840174675,0.26965105533599854,0.014643515460193157,0.013563084416091442,0.0006794004584662616,0.019041633233428,0.004928217269480228,0.012174375355243683,292.6496276855469,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006787099413411284,0.006787099413411296,0.0006787099413411284,2099,,,,,,,,,,,,,,,,,,,,,,,,
,,,2099,0.058193668723106384,0.28751713037490845,0.015596386045217514,0.015783963724970818,0.0006817211979068816,0.018482018262147903,0.0066462415270507336,0.013543921522796154,301.4822692871094,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000662457306923042,0.006624573069230427,0.000662457306923042,2199,,,,,,,,,,,,,,,,,,,,,,,,
,,,2199,0.051540181040763855,0.2589496374130249,0.015305036678910255,0.014151951298117638,0.0006829155026935041,0.019267942756414413,0.005618822295218706,0.012964991852641106,304.5744323730469,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006465938639834328,0.006465938639834335,0.0006465938639834328,2299,,,,,,,,,,,,,,,,,,,,,,,,
,,,2299,0.05558691918849945,0.2724718749523163,0.016198744997382164,0.013413936831057072,0.0006823590374551713,0.019064076244831085,0.006514271721243858,0.013415160588920116,305.9492492675781,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006311102928020011,0.0063111029280200175,0.0006311102928020011,2399,,,,,,,,,,,,,,,,,,,,,,,,
,,,2399,0.05518101900815964,0.2891518175601959,0.014909714460372925,0.013394556008279324,0.0006774597568437457,0.019366979598999023,0.007332838140428066,0.013258157297968864,299.3972473144531,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006159974968318482,0.006159974968318494,0.0006159974968318482,2499,,,,,,,,,,,,,,,,,,,,,,,,
,,,2499,0.046137016266584396,0.24877114593982697,0.015765655785799026,0.012073428370058537,0.0006794683868065476,0.01789962872862816,0.004669807851314545,0.01241205632686615,294.6939697265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000601246597355289,0.006012465973552901,0.000601246597355289,2599,,,,,,,,,,,,,,,,,,,,,,,,
,,,2599,0.04967218264937401,0.2710453271865845,0.013672096654772758,0.012513626366853714,0.0006822640425525606,0.0197797492146492,0.007193225435912609,0.0133584626019001,299.5591735839844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005868489282676302,0.005868489282676306,0.0005868489282676302,2699,,,,,,,,,,,,,,,,,,,,,,,,
,,,2699,0.057352885603904724,0.2754608392715454,0.015280552208423615,0.012020256370306015,0.0006832819199189544,0.01977469027042389,0.004400673788040876,0.01210678182542324,295.0470275878906,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005727960309858642,0.005727960309858654,0.0005727960309858642,2799,,,,,,,,,,,,,,,,,,,,,,,,
,,,2799,0.05337336286902428,0.2564847767353058,0.016205988824367523,0.012750045396387577,0.0006760212127119303,0.02085786685347557,0.0073785725980997086,0.012560958042740822,297.6375732421875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005590796494792832,0.005590796494792843,0.0005590796494792832,2899,,,,,,,,,,,,,,,,,,,,,,,,
,,,2899,0.04575743526220322,0.25611239671707153,0.015068872831761837,0.012352125719189644,0.0006676748162135482,0.0193294957280159,0.005748806521296501,0.012285009026527405,288.373779296875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000545691725419082,0.005456917254190826,0.000545691725419082,2999,,,,,,,,,,,,,,,,,,,,,,,,
,,,2999,0.04718855023384094,0.25301703810691833,0.01464720256626606,0.012019381858408451,0.0006811376661062241,0.02024863474071026,0.00484696589410305,0.011922342702746391,292.58404541015625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
