train_params/lambda_sparsity,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,lr-Adam/geometry,train_params/lambda_orient,epoch,train/min_step,train/loss_orient,train/loss_opaque,train/max_step,step,train/loss_sds,train_params/lambda_opaque,train/grad_norm
,,0.001,,0.01,,,,,,,31,,,
1.0,0.218828022480011,,1.0,,16.13800048828125,0,20.0,0.034990694373846054,0.1065831109881401,980.0,31,458.18353271484375,0.0,30.271554946899414
,,0.001,,0.01,,,,,,,32,,,
1.0,0.5185277462005615,,1.0,,16.336000442504883,0,20.0,0.04068566486239433,0.3248697817325592,980.0,32,504.84454345703125,0.0,31.775604248046875
,,0.001,,0.01,,,,,,,33,,,
1.0,0.2734670042991638,,1.0,,16.534000396728516,0,20.0,0.03310905396938324,0.14844393730163574,980.0,33,633.1373291015625,0.0,35.584754943847656
,,0.001,,0.01,,,,,,,34,,,
1.0,0.2627946138381958,,1.0,,16.73200035095215,0,20.0,0.033641308546066284,0.14077319204807281,980.0,34,276.7821350097656,0.0,23.527944564819336
,,0.001,,0.01,,,,,,,35,,,
1.0,0.2994607090950012,,1.0,,16.93000030517578,0,20.0,0.038162969052791595,0.16787570714950562,980.0,35,128.3636474609375,0.0,16.02271270751953
,,0.001,,0.01,,,,,,,36,,,
1.0,0.38384631276130676,,1.0,,17.128000259399414,0,20.0,0.03708513826131821,0.21721020340919495,980.0,36,66.18836975097656,0.0,11.505509376525879
,,0.001,,0.01,,,,,,,37,,,
1.0,0.3353225886821747,,1.0,,17.326000213623047,0,20.0,0.04757613316178322,0.17714759707450867,980.0,37,488.47247314453125,0.0,31.256118774414062
,,0.001,,0.01,,,,,,,38,,,
1.0,0.26726189255714417,,1.0,,17.52400016784668,0,20.0,0.04346604645252228,0.13789072632789612,980.0,38,1583.8748779296875,0.0,56.28276443481445
,,0.001,,0.01,,,,,,,39,,,
1.0,0.36242610216140747,,1.0,,17.722000122070312,0,20.0,0.04777788743376732,0.17992039024829865,980.0,39,786.3743896484375,0.0,39.65789794921875
,,0.001,,0.01,,,,,,,40,,,
1.0,0.3030373454093933,,1.0,,17.920000076293945,0,20.0,0.042711690068244934,0.1602979153394699,980.0,40,530.5723266601562,0.0,32.575218200683594
,,0.001,,0.01,,,,,,,41,,,
1.0,0.5002214312553406,,1.0,,18.118000030517578,0,20.0,0.048595160245895386,0.21559590101242065,980.0,41,652.1314697265625,0.0,36.11458206176758
,,0.001,,0.01,,,,,,,42,,,
1.0,0.2403491735458374,,1.0,,18.31599998474121,0,20.0,0.047494590282440186,0.11104977875947952,980.0,42,788.3861083984375,0.0,39.70859146118164
,,0.001,,0.01,,,,,,,43,,,
1.0,0.31586921215057373,,1.0,,18.513999938964844,0,20.0,0.05340303108096123,0.162897527217865,980.0,43,883.5670166015625,0.0,42.03729248046875
,,0.001,,0.01,,,,,,,44,,,
1.0,0.35806602239608765,,1.0,,18.711999893188477,0,20.0,0.05569468438625336,0.1831759810447693,980.0,44,294.2286376953125,0.0,24.25813865661621
,,0.001,,0.01,,,,,,,45,,,
1.0,0.25480785965919495,,1.0,,18.90999984741211,0,20.0,0.057448092848062515,0.10372858494520187,980.0,45,593.143798828125,0.0,34.442527770996094
,,0.001,,0.01,,,,,,,46,,,
1.0,0.5365323424339294,,1.0,,19.107999801635742,0,20.0,0.06571826338768005,0.24312755465507507,980.0,46,1212.873046875,0.0,49.25186538696289
,,0.001,,0.01,,,,,,,47,,,
1.0,0.2976670265197754,,1.0,,19.305999755859375,0,20.0,0.055296577513217926,0.14022977650165558,980.0,47,935.782470703125,0.0,43.26158905029297
,,0.001,,0.01,,,,,,,48,,,
1.0,0.3486865758895874,,1.0,,19.503999710083008,0,20.0,0.07071565836668015,0.15525569021701813,980.0,48,1410.9462890625,0.0,53.121490478515625
,,0.001,,0.01,,,,,,,49,,,
1.0,0.2765555679798126,,1.0,,19.70199966430664,0,20.0,0.065596804022789,0.11431179940700531,980.0,49,1010.7825317382812,0.0,44.96181869506836
,,0.001,,0.01,,,,,,,50,,,
1.0,0.3468526303768158,,1.0,,19.899999618530273,0,20.0,0.07289724797010422,0.10833647847175598,980.0,50,278.0887756347656,0.0,23.583415985107422
,,0.001,,0.01,,,,,,,51,,,
1.0,0.39164701104164124,,1.0,,20.097999572753906,0,20.0,0.062398459762334824,0.19211053848266602,980.0,51,751.1359252929688,0.0,38.759151458740234
,,0.001,,0.01,,,,,,,52,,,
1.0,0.49101075530052185,,1.0,,20.29599952697754,0,20.0,0.07166188955307007,0.18656831979751587,980.0,52,882.0184326171875,0.0,42.00043869018555
,,0.001,,0.01,,,,,,,53,,,
1.0,0.6987221837043762,,1.0,,20.493999481201172,0,20.0,0.07440084218978882,0.26047247648239136,980.0,53,830.6787719726562,0.0,40.7597541809082
,,0.001,,0.01,,,,,,,54,,,
1.0,0.4890420734882355,,1.0,,20.691999435424805,0,20.0,0.07077513635158539,0.22900401055812836,980.0,54,405.1936340332031,0.0,28.467302322387695
,,0.001,,0.01,,,,,,,55,,,
1.0,0.35330694913864136,,1.0,,20.889999389648438,0,20.0,0.07540963590145111,0.133729949593544,980.0,55,1453.852294921875,0.0,53.92313766479492
,,0.001,,0.01,,,,,,,56,,,
1.0,0.36423465609550476,,1.0,,21.08799934387207,0,20.0,0.06509007513523102,0.16634100675582886,980.0,56,711.0889892578125,0.0,37.71177673339844
,,0.001,,0.01,,,,,,,57,,,
1.0,0.587477445602417,,1.0,,21.285999298095703,0,20.0,0.07821261882781982,0.21840700507164001,980.0,57,688.080078125,0.0,37.09663391113281
,,0.001,,0.01,,,,,,,58,,,
1.0,0.2645399272441864,,1.0,,21.483999252319336,0,20.0,0.0635489746928215,0.08985693007707596,980.0,58,471.32403564453125,0.0,30.702573776245117
,,0.001,,0.01,,,,,,,59,,,
1.0,0.6258175373077393,,1.0,,21.68199920654297,0,20.0,0.07456368952989578,0.22326314449310303,980.0,59,1101.040283203125,0.0,46.92633056640625
,,0.001,,0.01,,,,,,,60,,,
1.0,0.5252546668052673,,1.0,,21.8799991607666,0,20.0,0.07565713673830032,0.2364819347858429,980.0,60,873.3792724609375,0.0,41.79423904418945
,,0.001,,0.01,,,,,,,61,,,
1.0,0.34664225578308105,,1.0,,22.077999114990234,0,20.0,0.08111695945262909,0.12363816797733307,980.0,61,384.5438232421875,0.0,27.73242950439453
,,0.001,,0.01,,,,,,,62,,,
1.0,0.3560163974761963,,1.0,,22.275999069213867,0,20.0,0.07719983905553818,0.11465556174516678,980.0,62,574.6224365234375,0.0,33.9005126953125
,,0.001,,0.01,,,,,,,63,,,
1.0,0.46649450063705444,,1.0,,22.474000930786133,0,20.0,0.0889153704047203,0.13504919409751892,980.0,63,484.25341796875,0.0,31.12084197998047
,,0.001,,0.01,,,,,,,64,,,
1.0,0.38592439889907837,,1.0,,22.672000885009766,0,20.0,0.08328958600759506,0.10404572635889053,980.0,64,638.404052734375,0.0,35.732452392578125
,,0.001,,0.01,,,,,,,65,,,
1.0,0.2762935161590576,,1.0,,22.8700008392334,0,20.0,0.06729479879140854,0.10639086365699768,980.0,65,439.4254150390625,0.0,29.645418167114258
,,0.001,,0.01,,,,,,,66,,,
1.0,0.3413809537887573,,1.0,,23.06800079345703,0,20.0,0.07066383957862854,0.12170621752738953,980.0,66,784.25048828125,0.0,39.604305267333984
,,0.001,,0.01,,,,,,,67,,,
1.0,0.31188929080963135,,1.0,,23.266000747680664,0,20.0,0.06183725222945213,0.11952874064445496,980.0,67,1138.0,0.0,47.70744323730469
,,0.001,,0.01,,,,,,,68,,,
1.0,0.2922503352165222,,1.0,,23.464000701904297,0,20.0,0.07369291037321091,0.10662342607975006,980.0,68,253.17135620117188,0.0,22.502059936523438
,,0.001,,0.01,,,,,,,69,,,
1.0,0.6065384149551392,,1.0,,23.66200065612793,0,20.0,0.06906040012836456,0.24696704745292664,980.0,69,1473.9249267578125,0.0,54.294105529785156
,,0.001,,0.01,,,,,,,70,,,
1.0,0.5697565674781799,,1.0,,23.860000610351562,0,20.0,0.08498454838991165,0.18306779861450195,980.0,70,589.4315185546875,0.0,34.33457565307617
,,0.001,,0.01,,,,,,,71,,,
1.0,0.552699089050293,,1.0,,24.058000564575195,0,20.0,0.06221044808626175,0.20059925317764282,980.0,71,457.24725341796875,0.0,30.240610122680664
,,0.001,,0.01,,,,,,,72,,,
1.0,0.2587556838989258,,1.0,,24.256000518798828,0,20.0,0.05609561875462532,0.08152387291193008,980.0,72,1096.566162109375,0.0,46.83089065551758
,,0.001,,0.01,,,,,,,73,,,
1.0,0.3169574737548828,,1.0,,24.45400047302246,0,20.0,0.0665581226348877,0.11455987393856049,980.0,73,468.38995361328125,0.0,30.60685920715332
,,0.001,,0.01,,,,,,,74,,,
1.0,0.5240529179573059,,1.0,,24.652000427246094,0,20.0,0.05877349525690079,0.23680105805397034,980.0,74,621.3321533203125,0.0,35.25144577026367
,,0.001,,0.01,,,,,,,75,,,
1.0,0.4892825484275818,,1.0,,24.850000381469727,0,20.0,0.06610268354415894,0.22152739763259888,980.0,75,461.5732727050781,0.0,30.38332748413086
,,0.001,,0.01,,,,,,,76,,,
1.0,0.27694079279899597,,1.0,,25.04800033569336,0,20.0,0.0563431940972805,0.10362517833709717,980.0,76,1033.50048828125,0.0,45.46428298950195
,,0.001,,0.01,,,,,,,77,,,
1.0,0.3102263808250427,,1.0,,25.246000289916992,0,20.0,0.056720487773418427,0.1172059029340744,980.0,77,1532.11767578125,0.0,55.35553741455078
,,0.001,,0.01,,,,,,,78,,,
1.0,0.2908017337322235,,1.0,,25.444000244140625,0,20.0,0.057119082659482956,0.10708190500736237,980.0,78,2642.479736328125,0.0,72.69772338867188
,,0.001,,0.01,,,,,,,79,,,
1.0,0.36167240142822266,,1.0,,25.642000198364258,0,20.0,0.0566859170794487,0.1298728585243225,980.0,79,721.14697265625,0.0,37.97754669189453
,,0.001,,0.01,,,,,,,80,,,
1.0,0.2946258783340454,,1.0,,25.84000015258789,0,20.0,0.061045099049806595,0.12778010964393616,980.0,80,272.7117004394531,0.0,23.35430145263672
,,0.001,,0.01,,,,,,,81,,,
1.0,0.30371421575546265,,1.0,,26.038000106811523,0,20.0,0.05386039987206459,0.12353131920099258,980.0,81,316.6325988769531,0.0,25.16476058959961
,,0.001,,0.01,,,,,,,82,,,
1.0,0.5846245884895325,,1.0,,26.236000061035156,0,20.0,0.05638154596090317,0.2396748811006546,980.0,82,511.63067626953125,0.0,31.98845672607422
,,0.001,,0.01,,,,,,,83,,,
1.0,0.2273268699645996,,1.0,,26.43400001525879,0,20.0,0.047819528728723526,0.07301469892263412,980.0,83,1245.936279296875,0.0,49.91865921020508
,,0.001,,0.01,,,,,,,84,,,
1.0,0.3200334310531616,,1.0,,26.631999969482422,0,20.0,0.05948996916413307,0.14159372448921204,980.0,84,525.7039184570312,0.0,32.425418853759766
,,0.001,,0.01,,,,,,,85,,,
1.0,0.23549537360668182,,1.0,,26.829999923706055,0,20.0,0.056571006774902344,0.08379040658473969,980.0,85,530.2261352539062,0.0,32.5645866394043
,,0.001,,0.01,,,,,,,86,,,
1.0,0.3940485417842865,,1.0,,27.027999877929688,0,20.0,0.05928882211446762,0.16684354841709137,980.0,86,484.820556640625,0.0,31.139060974121094
,,0.001,,0.01,,,,,,,87,,,
1.0,0.5208888053894043,,1.0,,27.22599983215332,0,20.0,0.056992754340171814,0.18505333364009857,980.0,87,402.92230224609375,0.0,28.387401580810547
,,0.001,,0.01,,,,,,,88,,,
1.0,0.43306195735931396,,1.0,,27.423999786376953,0,20.0,0.05646676570177078,0.18189580738544464,980.0,88,972.8389282226562,0.0,44.10983657836914
,,0.001,,0.01,,,,,,,89,,,
1.0,0.4368109107017517,,1.0,,27.621999740600586,0,20.0,0.0727887973189354,0.16767850518226624,980.0,89,620.6310424804688,0.0,35.23154830932617
,,0.001,,0.01,,,,,,,90,,,
1.0,0.40770214796066284,,1.0,,27.81999969482422,0,20.0,0.05326582118868828,0.16935572028160095,980.0,90,1278.7576904296875,0.0,50.57188415527344
,,0.001,,0.01,,,,,,,91,,,
1.0,0.40030935406684875,,1.0,,28.01799964904785,0,20.0,0.07131360471248627,0.12295756489038467,980.0,91,232.79197692871094,0.0,21.577394485473633
,,0.001,,0.01,,,,,,,92,,,
1.0,0.5682032108306885,,1.0,,28.215999603271484,0,20.0,0.07924801856279373,0.18461263179779053,980.0,92,656.7882690429688,0.0,36.2432975769043
,,0.001,,0.01,,,,,,,93,,,
1.0,0.38195085525512695,,1.0,,28.413999557495117,0,20.0,0.07660232484340668,0.11508587002754211,980.0,93,443.9332580566406,0.0,29.797090530395508
,,0.001,,0.01,,,,,,,94,,,
1.0,0.3311399221420288,,1.0,,28.61199951171875,0,20.0,0.07371596992015839,0.11123225092887878,980.0,94,1284.4609375,0.0,50.684532165527344
,,0.001,,0.01,,,,,,,95,,,
1.0,0.28842252492904663,,1.0,,28.809999465942383,0,20.0,0.05854540690779686,0.09816540032625198,980.0,95,861.8529052734375,0.0,41.51753616333008
,,0.001,,0.01,,,,,,,96,,,
1.0,0.32767415046691895,,1.0,,29.007999420166016,0,20.0,0.07259416580200195,0.11627938598394394,980.0,96,832.1299438476562,0.0,40.79534149169922
,,0.001,,0.01,,,,,,,97,,,
1.0,0.29182684421539307,,1.0,,29.20599937438965,0,20.0,0.05556049942970276,0.10521778464317322,980.0,97,90.5181884765625,0.0,13.454976081848145
,,0.001,,0.01,,,,,,,98,,,
1.0,0.39110705256462097,,1.0,,29.40399932861328,0,20.0,0.08270066231489182,0.13911336660385132,980.0,98,681.3653564453125,0.0,36.915184020996094
,,0.001,,0.01,,,,,,,99,,,
1.0,0.2360459566116333,,1.0,,29.601999282836914,0,20.0,0.07813871651887894,0.07253699749708176,980.0,99,725.70458984375,0.0,38.09736633300781
,,0.001,,0.01,,,,,,,100,,,
1.0,0.3751819133758545,,1.0,,29.799999237060547,0,20.0,0.08045808225870132,0.1356947124004364,980.0,100,403.734375,0.0,28.41599464416504
,,0.001,,0.01,,,,,,,101,,,
1.0,0.23063963651657104,,1.0,,29.99799919128418,0,20.0,0.07378432899713516,0.068955197930336,980.0,101,1740.501953125,0.0,59.00003433227539
,,0.001,,0.01,,,,,,,102,,,
1.0,0.3283209800720215,,1.0,,30.195999145507812,0,20.0,0.07273498922586441,0.12568560242652893,980.0,102,901.88037109375,0.0,42.470703125
,,0.001,,0.01,,,,,,,103,,,
1.0,0.39921513199806213,,1.0,,30.393999099731445,0,20.0,0.07392022013664246,0.1492801010608673,980.0,103,1060.0889892578125,0.0,46.045387268066406
,,0.001,,0.01,,,,,,,104,,,
1.0,0.41067081689834595,,1.0,,30.591999053955078,0,20.0,0.062364064157009125,0.13091668486595154,980.0,104,1039.228515625,0.0,45.5900993347168
,,0.001,,0.01,,,,,,,105,,,
1.0,0.4119029641151428,,1.0,,30.790000915527344,0,20.0,0.07580416649580002,0.13726748526096344,980.0,105,167.08958435058594,0.0,18.280567169189453
,,0.001,,0.01,,,,,,,106,,,
1.0,0.29941049218177795,,1.0,,30.988000869750977,0,20.0,0.06372912973165512,0.0971236452460289,980.0,106,196.4756622314453,0.0,19.822999954223633
,,0.001,,0.01,,,,,,,107,,,
1.0,0.3320246636867523,,1.0,,31.18600082397461,0,20.0,0.06170335412025452,0.11335383355617523,980.0,107,2360.263671875,0.0,68.70609283447266
,,0.001,,0.01,,,,,,,108,,,
1.0,0.32022979855537415,,1.0,,31.384000778198242,0,20.0,0.08110887557268143,0.10486553609371185,980.0,108,119.11518859863281,0.0,15.434713363647461
,,0.001,,0.01,,,,,,,109,,,
1.0,0.3324419856071472,,1.0,,31.582000732421875,0,20.0,0.07588493824005127,0.11327725648880005,980.0,109,567.7421875,0.0,33.69694900512695
,,0.001,,0.01,,,,,,,110,,,
1.0,0.2737303376197815,,1.0,,31.780000686645508,0,20.0,0.08271009474992752,0.08085262775421143,980.0,110,471.06005859375,0.0,30.6939754486084
,,0.001,,0.01,,,,,,,111,,,
1.0,0.4833950996398926,,1.0,,31.97800064086914,0,20.0,0.08832703530788422,0.13554292917251587,980.0,111,670.8140869140625,0.0,36.62824249267578
,,0.001,,0.01,,,,,,,112,,,
1.0,0.5295027494430542,,1.0,,32.17599868774414,0,20.0,0.0839536264538765,0.14281094074249268,980.0,112,1271.623291015625,0.0,50.43061065673828
,,0.001,,0.01,,,,,,,113,,,
1.0,0.4529498219490051,,1.0,,32.374000549316406,0,20.0,0.08636719733476639,0.09834043681621552,980.0,113,1502.776611328125,0.0,54.82292556762695
,,0.001,,0.01,,,,,,,114,,,
1.0,0.41359972953796387,,1.0,,32.571998596191406,0,20.0,0.06674844771623611,0.09686462581157684,980.0,114,1531.6922607421875,0.0,55.34785079956055
,,0.001,,0.01,,,,,,,115,,,
1.0,0.36083897948265076,,1.0,,32.77000045776367,0,20.0,0.07366465777158737,0.10988171398639679,980.0,115,623.1500854492188,0.0,35.302978515625
,,0.001,,0.01,,,,,,,116,,,
1.0,0.5614590644836426,,1.0,,32.96799850463867,0,20.0,0.07997499406337738,0.16121923923492432,980.0,116,271.537353515625,0.0,23.30396270751953
,,0.001,,0.01,,,,,,,117,,,
1.0,0.31434765458106995,,1.0,,33.16600036621094,0,20.0,0.07005119323730469,0.08360657095909119,980.0,117,811.66650390625,0.0,40.29060745239258
,,0.001,,0.01,,,,,,,118,,,
1.0,0.4081743359565735,,1.0,,33.36399841308594,0,20.0,0.0901917964220047,0.09284961968660355,980.0,118,847.4129638671875,0.0,41.16826248168945
,,0.001,,0.01,,,,,,,119,,,
1.0,0.25635862350463867,,1.0,,33.5620002746582,0,20.0,0.067719966173172,0.06433861702680588,980.0,119,1031.173828125,0.0,45.41307830810547
,,0.001,,0.01,,,,,,,120,,,
1.0,0.48546165227890015,,1.0,,33.7599983215332,0,20.0,0.07183980941772461,0.13589802384376526,980.0,120,931.1611328125,0.0,43.154632568359375
,,0.001,,0.01,,,,,,,121,,,
1.0,0.3034227788448334,,1.0,,33.95800018310547,0,20.0,0.055866219103336334,0.10119643807411194,980.0,121,2063.81689453125,0.0,64.24666595458984
,,0.001,,0.01,,,,,,,122,,,
1.0,0.2833428978919983,,1.0,,34.15599822998047,0,20.0,0.06961879879236221,0.08495568484067917,980.0,122,1029.48779296875,0.0,45.37593460083008
,,0.001,,0.01,,,,,,,123,,,
1.0,0.22842763364315033,,1.0,,34.354000091552734,0,20.0,0.08253594487905502,0.060938648879528046,980.0,123,1015.5613403320312,0.0,45.06797790527344
,,0.001,,0.01,,,,,,,124,,,
1.0,0.32893621921539307,,1.0,,34.551998138427734,0,20.0,0.05738329142332077,0.09668849408626556,980.0,124,1276.0863037109375,0.0,50.5190315246582
,,0.001,,0.01,,,,,,,125,,,
1.0,0.36050695180892944,,1.0,,34.75,0,20.0,0.057477280497550964,0.12311936169862747,980.0,125,32.56243896484375,0.0,8.069998741149902
,,0.001,,0.01,,,,,,,126,,,
1.0,0.27566033601760864,,1.0,,34.948001861572266,0,20.0,0.06312236189842224,0.07922176271677017,980.0,126,741.180908203125,0.0,38.5014533996582
,,0.001,,0.01,,,,,,,127,,,
1.0,0.34259358048439026,,1.0,,35.145999908447266,0,20.0,0.06863399595022202,0.09512434899806976,980.0,127,462.7734069824219,0.0,30.422801971435547
,,0.001,,0.01,,,,,,,128,,,
1.0,0.27979913353919983,,1.0,,35.34400177001953,0,20.0,0.07753840833902359,0.09195764362812042,980.0,128,841.583740234375,0.0,41.026424407958984
,,0.001,,0.01,,,,,,,129,,,
1.0,0.2533528208732605,,1.0,,35.54199981689453,0,20.0,0.073859803378582,0.0728091448545456,980.0,129,775.2117309570312,0.0,39.37541580200195
,,0.001,,0.01,,,,,,,130,,,
1.0,0.387268602848053,,1.0,,35.7400016784668,0,20.0,0.0593237541615963,0.13725444674491882,980.0,130,1511.8759765625,0.0,54.988651275634766
,,0.001,,0.01,,,,,,,131,,,
1.0,0.24644944071769714,,1.0,,35.9379997253418,0,20.0,0.06888139247894287,0.0721529871225357,980.0,131,451.94091796875,0.0,30.06462860107422
,,0.001,,0.01,,,,,,,132,,,
1.0,0.4046710133552551,,1.0,,36.13600158691406,0,20.0,0.06834429502487183,0.15388333797454834,980.0,132,981.7984619140625,0.0,44.31249237060547
,,0.001,,0.01,,,,,,,133,,,
1.0,0.22312116622924805,,1.0,,36.33399963378906,0,20.0,0.05899014696478844,0.05684778094291687,980.0,133,1672.7738037109375,0.0,57.8407096862793
,,0.001,,0.01,,,,,,,134,,,
1.0,0.45824217796325684,,1.0,,36.53200149536133,0,20.0,0.07018502801656723,0.11682999134063721,980.0,134,575.7542724609375,0.0,33.93388366699219
,,0.001,,0.01,,,,,,,135,,,
1.0,0.5955861806869507,,1.0,,36.72999954223633,0,20.0,0.07557382434606552,0.18369415402412415,980.0,135,1135.4813232421875,0.0,47.65461730957031
,,0.001,,0.01,,,,,,,136,,,
1.0,0.761978268623352,,1.0,,36.928001403808594,0,20.0,0.09119942039251328,0.21283677220344543,980.0,136,828.17431640625,0.0,40.698265075683594
,,0.001,,0.01,,,,,,,137,,,
1.0,0.26599425077438354,,1.0,,37.125999450683594,0,20.0,0.08015183359384537,0.07537775486707687,980.0,137,334.4525146484375,0.0,25.86319923400879
