step,train/grad_norm,train/max_step,lr-Adam,train_params/lambda_sds,train_params/lambda_normal_consistency,train/loss_sds,train/loss_normal_consistency,train/min_step,epoch
51,215.5707550048828,500.0,,1.0,10000.0,23235.375,0.0434771329164505,20.0,0
52,,,0.01,,,,,,
52,209.64540100097656,500.0,,1.0,10000.0,21975.595703125,0.04312176629900932,20.0,0
53,,,0.01,,,,,,
53,40.786380767822266,500.0,,1.0,10000.0,831.764404296875,0.04280191659927368,20.0,0
54,,,0.01,,,,,,
54,212.39361572265625,500.0,,1.0,10000.0,22555.5234375,0.042462315410375595,20.0,0
55,,,0.01,,,,,,
55,6.748048305511475,500.0,,1.0,10000.0,22.768077850341797,0.04215880483388901,20.0,0
56,,,0.01,,,,,,
56,22.661603927612305,500.0,,1.0,10000.0,256.7741394042969,0.041902024298906326,20.0,0
57,,,0.01,,,,,,
57,59.35481262207031,500.0,,1.0,10000.0,1761.4969482421875,0.041617024689912796,20.0,0
58,,,0.01,,,,,,
58,197.58023071289062,500.0,,1.0,10000.0,19518.97265625,0.041337404400110245,20.0,0
59,,,0.01,,,,,,
59,165.85581970214844,500.0,,1.0,10000.0,13754.076171875,0.04106508940458298,20.0,0
60,,,0.01,,,,,,
60,5.389775276184082,500.0,,1.0,10000.0,14.524837493896484,0.0408136285841465,20.0,0
61,,,0.01,,,,,,
61,227.9620819091797,500.0,,1.0,10000.0,25983.35546875,0.040547993034124374,20.0,0
62,,,0.01,,,,,,
62,144.29730224609375,500.0,,1.0,10000.0,10410.857421875,0.04029649496078491,20.0,0
63,,,0.01,,,,,,
63,55.38505554199219,500.0,,1.0,10000.0,1533.7520751953125,0.04001869633793831,20.0,0
64,,,0.01,,,,,,
64,81.75525665283203,500.0,,1.0,10000.0,3341.960693359375,0.039782337844371796,20.0,0
65,,,0.01,,,,,,
65,29.395219802856445,500.0,,1.0,10000.0,432.0395202636719,0.039782337844371796,20.0,0
66,,,0.01,,,,,,
66,176.19786071777344,500.0,,1.0,10000.0,15522.841796875,0.03955518826842308,20.0,0
67,,,0.01,,,,,,
67,7.519979476928711,500.0,,1.0,10000.0,28.27504539489746,0.039329104125499725,20.0,0
68,,,0.01,,,,,,
68,85.14820861816406,500.0,,1.0,10000.0,3625.1083984375,0.03910742327570915,20.0,0
69,,,0.01,,,,,,
69,26.6147403717041,500.0,,1.0,10000.0,354.17218017578125,0.03889458626508713,20.0,0
70,,,0.01,,,,,,
70,131.80458068847656,500.0,,1.0,10000.0,8686.22265625,0.03868294134736061,20.0,0
71,,,0.01,,,,,,
71,167.83578491210938,500.0,,1.0,10000.0,14084.4248046875,0.03847096860408783,20.0,0
72,,,0.01,,,,,,
72,14.307531356811523,500.0,,1.0,10000.0,102.35272979736328,0.03826529160141945,20.0,0
73,,,0.01,,,,,,
73,98.59321594238281,500.0,,1.0,10000.0,4860.31103515625,0.03806140646338463,20.0,0
74,,,0.01,,,,,,
74,67.1209487915039,500.0,,1.0,10000.0,2252.61083984375,0.03785853460431099,20.0,0
75,,,0.01,,,,,,
75,79.74703979492188,500.0,,1.0,10000.0,3179.79541015625,0.037657883018255234,20.0,0
76,,,0.01,,,,,,
76,3.22887921333313,500.0,,1.0,10000.0,5.212830543518066,0.03746189549565315,20.0,0
77,,,0.01,,,,,,
77,63.01164627075195,500.0,,1.0,10000.0,1985.2337646484375,0.0372685007750988,20.0,0
78,,,0.01,,,,,,
78,140.52313232421875,500.0,,1.0,10000.0,9873.375,0.03707476332783699,20.0,0
79,,,0.01,,,,,,
79,97.69393157958984,500.0,,1.0,10000.0,4772.05224609375,0.036884408444166183,20.0,0
80,,,0.01,,,,,,
80,41.843101501464844,500.0,,1.0,10000.0,875.422607421875,0.03670059144496918,20.0,0
81,,,0.01,,,,,,
81,25.02259635925293,500.0,,1.0,10000.0,313.065185546875,0.03651881590485573,20.0,0
82,,,0.01,,,,,,
82,309.2222900390625,500.0,,1.0,10000.0,47809.2109375,0.03633878752589226,20.0,0
83,,,0.01,,,,,,
83,100.53307342529297,500.0,,1.0,10000.0,5053.44921875,0.03623979166150093,20.0,0
84,,,0.01,,,,,,
84,64.56489562988281,500.0,,1.0,10000.0,2084.31298828125,0.0359974130988121,20.0,0
85,,,0.01,,,,,,
85,76.71053314208984,500.0,,1.0,10000.0,2942.253173828125,0.035806119441986084,20.0,0
86,,,0.01,,,,,,
86,13.099496841430664,500.0,,1.0,10000.0,85.79840850830078,0.03563067689538002,20.0,0
87,,,0.01,,,,,,
87,193.38165283203125,500.0,,1.0,10000.0,18698.23046875,0.03545784205198288,20.0,0
88,,,0.01,,,,,,
88,322.537841796875,500.0,,1.0,10000.0,52015.328125,0.03529101982712746,20.0,0
89,,,0.01,,,,,,
89,218.51260375976562,500.0,,1.0,10000.0,23873.87890625,0.03513363376259804,20.0,0
90,,,0.01,,,,,,
90,7.73216438293457,500.0,,1.0,10000.0,29.893184661865234,0.034987326711416245,20.0,0
91,,,0.01,,,,,,
91,97.42598724365234,500.0,,1.0,10000.0,4745.912109375,0.034845586866140366,20.0,0
92,,,0.01,,,,,,
92,354.7466735839844,500.0,,1.0,10000.0,62922.6015625,0.03471020609140396,20.0,0
93,,,0.01,,,,,,
