lr-Adam/geometry.feature_network,train_params/lambda_3d_sd,train_params/lambda_rgb,train/loss_rgb,train/min_step,trian/loss_normal_smoothness_2d,train_params/lambda_sd,train_params/lambda_mask,lr-Adam/geometry.density_network,train_params/lambda_orient,lr-Adam/geometry.encoding,train/max_step,train_params/lambda_sparsity,train_params/lambda_opaque,train/loss_mask,step,train/loss_sd,train/loss_sd_3d,train/max_step_3d,train_params/lambda_normal_smoothness_2d,train/grad_norm_3d,epoch,train/loss_sparsity,train/loss_opaque,train/grad_norm,train/min_step_3d
,1.0,1000.0,0.05677317827939987,200.0,0.00019964855164289474,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8656337261199951,16,317.3652648925781,4.255969047546387,600.0,1000.0,2.917522430419922,0,0.2591125965118408,0.14207428693771362,25.193859100341797,200.0
0.001,,,,,,,,0.001,,0.01,,,,,17,,,,,,,,,,
,1.0,1000.0,0.05673360079526901,200.0,0.0001942405360750854,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8635587692260742,17,213.14410400390625,120.03462219238281,600.0,1000.0,15.494168281555176,0,0.2591377794742584,0.14227204024791718,20.646747589111328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,18,,,,,,,,,,
,1.0,1000.0,0.05669797211885452,200.0,0.00024545518681406975,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8592252731323242,18,1842.5638427734375,32.24371337890625,600.0,1000.0,8.03040599822998,0,0.2592538297176361,0.1417464166879654,60.70524978637695,200.0
0.001,,,,,,,,0.001,,0.01,,,,,19,,,,,,,,,,
,1.0,1000.0,0.05665620416402817,200.0,0.00023439970391336828,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.856855869293213,19,63.18579864501953,31.802040100097656,600.0,1000.0,7.975216388702393,0,0.25935399532318115,0.14186207950115204,11.241512298583984,200.0
0.001,,,,,,,,0.001,,0.01,,,,,20,,,,,,,,,,
,1.0,1000.0,0.056606173515319824,200.0,0.00017713529814500362,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8547587394714355,20,148.16323852539062,47.30131530761719,600.0,1000.0,9.726387977600098,0,0.25957199931144714,0.1420404314994812,17.214136123657227,200.0
0.001,,,,,,,,0.001,,0.01,,,,,21,,,,,,,,,,
,1.0,1000.0,0.05655510351061821,200.0,0.000279903004411608,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.851615309715271,21,114.24024963378906,24.636871337890625,600.0,1000.0,7.01952600479126,0,0.2597837448120117,0.14227764308452606,15.115571975708008,200.0
0.001,,,,,,,,0.001,,0.01,,,,,22,,,,,,,,,,
,1.0,1000.0,0.05649043619632721,200.0,0.00021875801030546427,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8476245403289795,22,146.37286376953125,57.92744445800781,600.0,1000.0,10.763590812683105,0,0.2598550319671631,0.14205142855644226,17.109813690185547,200.0
0.001,,,,,,,,0.001,,0.01,,,,,23,,,,,,,,,,
,1.0,1000.0,0.056427545845508575,200.0,0.00019514100858941674,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8451616764068604,23,97.24089813232422,7.61071252822876,600.0,1000.0,3.9014647006988525,0,0.2600904107093811,0.14231032133102417,13.945673942565918,200.0
0.001,,,,,,,,0.001,,0.01,,,,,24,,,,,,,,,,
,1.0,1000.0,0.05635871738195419,200.0,0.0002228680532425642,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.842265248298645,24,386.726318359375,14.096363067626953,600.0,1000.0,5.309682369232178,0,0.2603178024291992,0.14248478412628174,27.811016082763672,200.0
0.001,,,,,,,,0.001,,0.01,,,,,25,,,,,,,,,,
,1.0,1000.0,0.05627722665667534,200.0,0.00021331085008569062,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8367704153060913,25,600.7296752929688,31.684335708618164,600.0,1000.0,7.96044397354126,0,0.26046669483184814,0.14227312803268433,34.66207504272461,200.0
0.001,,,,,,,,0.001,,0.01,,,,,26,,,,,,,,,,
,1.0,1000.0,0.05619652196764946,200.0,0.00021535594714805484,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8324031829833984,26,1022.7163696289062,53.9869384765625,600.0,1000.0,10.391047477722168,0,0.2609536647796631,0.14261740446090698,45.22645950317383,200.0
0.001,,,,,,,,0.001,,0.01,,,,,27,,,,,,,,,,
,1.0,1000.0,0.05610213801264763,200.0,0.00020116845553275198,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8264268636703491,27,208.71900939941406,9.686712265014648,600.0,1000.0,4.401525020599365,0,0.2610950171947479,0.14219802618026733,20.431299209594727,200.0
0.001,,,,,,,,0.001,,0.01,,,,,28,,,,,,,,,,
,1.0,1000.0,0.05600085109472275,200.0,0.00020009309810120612,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8196666240692139,28,191.50790405273438,13.06416130065918,600.0,1000.0,5.111587047576904,0,0.2612278163433075,0.14250977337360382,19.570789337158203,200.0
0.001,,,,,,,,0.001,,0.01,,,,,29,,,,,,,,,,
,1.0,1000.0,0.05588798224925995,200.0,0.00018898231792263687,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.814010739326477,29,81.41914367675781,80.2629165649414,600.0,1000.0,12.669878959655762,0,0.26171842217445374,0.14233271777629852,12.760810852050781,200.0
0.001,,,,,,,,0.001,,0.01,,,,,30,,,,,,,,,,
,1.0,1000.0,0.05576170235872269,200.0,0.0002099676785292104,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.8074936866760254,30,186.88125610351562,4.912589073181152,600.0,1000.0,3.134514093399048,0,0.2621959447860718,0.1426561176776886,19.33293914794922,200.0
0.001,,,,,,,,0.001,,0.01,,,,,31,,,,,,,,,,
,1.0,1000.0,0.05562472343444824,200.0,0.00018418868421576917,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7972421646118164,31,801.3515625,10.735807418823242,600.0,1000.0,4.633747577667236,0,0.2624354064464569,0.14216306805610657,40.033775329589844,200.0
0.001,,,,,,,,0.001,,0.01,,,,,32,,,,,,,,,,
,1.0,1000.0,0.055338602513074875,200.0,0.00026962009724229574,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7929496765136719,32,121.7283935546875,18.628734588623047,600.0,1000.0,6.1038899421691895,0,0.26349562406539917,0.14346766471862793,15.60310173034668,200.0
0.001,,,,,,,,0.001,,0.01,,,,,33,,,,,,,,,,
,1.0,1000.0,0.05516433343291283,200.0,0.000300344341667369,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7812988758087158,33,185.76617431640625,5.619234085083008,600.0,1000.0,3.3523824214935303,0,0.26388370990753174,0.14316487312316895,19.275175094604492,200.0
0.001,,,,,,,,0.001,,0.01,,,,,34,,,,,,,,,,
,1.0,1000.0,0.05496744066476822,200.0,0.0002058586396742612,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7673221826553345,34,103.0469741821289,8.781148910522461,600.0,1000.0,4.190739631652832,0,0.26362502574920654,0.1422947347164154,14.355972290039062,200.0
0.001,,,,,,,,0.001,,0.01,,,,,35,,,,,,,,,,
,1.0,1000.0,0.05475412309169769,200.0,0.00021119945449754596,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7555445432662964,35,181.57095336914062,7.722570896148682,600.0,1000.0,3.930030584335327,0,0.2643375098705292,0.14340102672576904,19.05628204345703,200.0
0.001,,,,,,,,0.001,,0.01,,,,,36,,,,,,,,,,
,1.0,1000.0,0.054510246962308884,200.0,0.00033021182753145695,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7398428916931152,36,650.2259521484375,34.27272415161133,600.0,1000.0,8.279217720031738,0,0.26680272817611694,0.1472325623035431,36.0617790222168,200.0
0.001,,,,,,,,0.001,,0.01,,,,,37,,,,,,,,,,
,1.0,1000.0,0.05426044389605522,200.0,0.0002990400535054505,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7292473316192627,37,210.37660217285156,27.496944427490234,600.0,1000.0,7.415786266326904,0,0.26668697595596313,0.14550089836120605,20.512269973754883,200.0
0.001,,,,,,,,0.001,,0.01,,,,,38,,,,,,,,,,
,1.0,1000.0,0.053989067673683167,200.0,0.00030789425363764167,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7184438705444336,38,229.17849731445312,24.44481086730957,600.0,1000.0,6.9921112060546875,0,0.2663109004497528,0.1438935101032257,21.409273147583008,200.0
0.001,,,,,,,,0.001,,0.01,,,,,39,,,,,,,,,,
,1.0,1000.0,0.053696632385253906,200.0,0.0002716754679568112,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.7028882503509521,39,798.2092895507812,12.980962753295898,600.0,1000.0,5.095284938812256,0,0.2659965753555298,0.14272725582122803,39.95520782470703,200.0
0.001,,,,,,,,0.001,,0.01,,,,,40,,,,,,,,,,
,1.0,1000.0,0.05337541550397873,200.0,0.0002953415969386697,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.687243938446045,40,219.3308868408203,107.91847229003906,600.0,1000.0,14.691390037536621,0,0.26842647790908813,0.1448470652103424,20.94425392150879,200.0
0.001,,,,,,,,0.001,,0.01,,,,,41,,,,,,,,,,
,1.0,1000.0,0.0530376061797142,200.0,0.0003566797822713852,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.671416163444519,41,479.29052734375,15.093076705932617,600.0,1000.0,5.494192600250244,0,0.26927614212036133,0.14464667439460754,30.960960388183594,200.0
0.001,,,,,,,,0.001,,0.01,,,,,42,,,,,,,,,,
,1.0,1000.0,0.05266604945063591,200.0,0.0003411987272556871,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.655307650566101,42,66.64802551269531,80.41717529296875,600.0,1000.0,12.682048797607422,0,0.269978404045105,0.14626167714595795,11.545391082763672,200.0
0.001,,,,,,,,0.001,,0.01,,,,,43,,,,,,,,,,
,1.0,1000.0,0.05229514464735985,200.0,0.00043562130304053426,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.6388695240020752,43,83.00163269042969,6.150637149810791,600.0,1000.0,3.507317304611206,0,0.27150875329971313,0.14715000987052917,12.884225845336914,200.0
0.001,,,,,,,,0.001,,0.01,,,,,44,,,,,,,,,,
,1.0,1000.0,0.051880352199077606,200.0,0.00045358945499174297,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.61659836769104,44,205.2803955078125,75.00692749023438,600.0,1000.0,12.248014450073242,0,0.27307653427124023,0.14819908142089844,20.262300491333008,200.0
0.001,,,,,,,,0.001,,0.01,,,,,45,,,,,,,,,,
,1.0,1000.0,0.051435764878988266,200.0,0.00038177092210389674,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.5994504690170288,45,487.036376953125,19.852834701538086,600.0,1000.0,6.301243305206299,0,0.2700711786746979,0.14311590790748596,31.21013832092285,200.0
0.001,,,,,,,,0.001,,0.01,,,,,46,,,,,,,,,,
,1.0,1000.0,0.05095646530389786,200.0,0.0004645524313673377,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.57938551902771,46,77.67091369628906,46.23396301269531,600.0,1000.0,9.616024017333984,0,0.27398109436035156,0.14461462199687958,12.463621139526367,200.0
0.001,,,,,,,,0.001,,0.01,,,,,47,,,,,,,,,,
,1.0,1000.0,0.050451360642910004,200.0,0.0005973755614832044,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.56459379196167,47,200.60992431640625,14.381244659423828,600.0,1000.0,5.363067150115967,0,0.2760530114173889,0.14780934154987335,20.030473709106445,200.0
0.001,,,,,,,,0.001,,0.01,,,,,48,,,,,,,,,,
,1.0,1000.0,0.049528107047080994,200.0,0.0005582082667388022,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.5201563835144043,48,634.9213256835938,38.740997314453125,600.0,1000.0,8.802385330200195,0,0.27283865213394165,0.14213813841342926,35.63485336303711,200.0
0.001,,,,,,,,0.001,,0.01,,,,,49,,,,,,,,,,
,1.0,1000.0,0.04889170080423355,200.0,0.0006145082297734916,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.4942240715026855,49,138.46112060546875,16.39384651184082,600.0,1000.0,5.726053714752197,0,0.27810031175613403,0.1445980817079544,16.640981674194336,200.0
0.001,,,,,,,,0.001,,0.01,,,,,50,,,,,,,,,,
,1.0,1000.0,0.04821650683879852,200.0,0.0006112766568548977,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.4674688577651978,50,257.1759033203125,92.86949920654297,600.0,1000.0,13.628609657287598,0,0.27701568603515625,0.14492839574813843,22.679325103759766,200.0
0.001,,,,,,,,0.001,,0.01,,,,,51,,,,,,,,,,
,1.0,1000.0,0.047543853521347046,200.0,0.0010402539046481252,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.4438951015472412,51,80.82597351074219,34.19644546508789,600.0,1000.0,8.269999504089355,0,0.2863198518753052,0.1532374620437622,12.714242935180664,200.0
0.001,,,,,,,,0.001,,0.01,,,,,52,,,,,,,,,,
,1.0,1000.0,0.046861182898283005,200.0,0.0007497967453673482,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.4167428016662598,52,762.2532958984375,2.4869203567504883,600.0,1000.0,2.230211019515991,0,0.280505895614624,0.1453954577445984,39.04492950439453,200.0
0.001,,,,,,,,0.001,,0.01,,,,,53,,,,,,,,,,
,1.0,1000.0,0.04615098237991333,200.0,0.0013006655499339104,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.389540195465088,53,266.49481201171875,6.569042205810547,600.0,1000.0,3.6246495246887207,0,0.28198355436325073,0.1419852375984192,23.08656883239746,200.0
0.001,,,,,,,,0.001,,0.01,,,,,54,,,,,,,,,,
,1.0,1000.0,0.0454292856156826,200.0,0.001962411217391491,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.3652451038360596,54,517.7869873046875,27.24109649658203,600.0,1000.0,7.3812055587768555,0,0.29122376441955566,0.1528666466474533,32.180335998535156,200.0
0.001,,,,,,,,0.001,,0.01,,,,,55,,,,,,,,,,
,1.0,1000.0,0.04470638930797577,200.0,0.002505172975361347,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.3443408012390137,55,593.2994995117188,65.48336029052734,600.0,1000.0,11.444068908691406,0,0.2941398620605469,0.15436026453971863,34.44704818725586,200.0
0.001,,,,,,,,0.001,,0.01,,,,,56,,,,,,,,,,
,1.0,1000.0,0.04397785663604736,200.0,0.0021993685513734818,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.322083830833435,56,487.1807861328125,44.202571868896484,600.0,1000.0,9.402400970458984,0,0.29898083209991455,0.15314525365829468,31.214765548706055,200.0
0.001,,,,,,,,0.001,,0.01,,,,,57,,,,,,,,,,
,1.0,1000.0,0.04327329620718956,200.0,0.0025798934511840343,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.3011808395385742,57,790.522216796875,48.236026763916016,600.0,1000.0,9.82201862335205,0,0.297146737575531,0.1459692269563675,39.76234817504883,200.0
0.001,,,,,,,,0.001,,0.01,,,,,58,,,,,,,,,,
,1.0,1000.0,0.042644303292036057,200.0,0.0019084016093984246,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.2818756103515625,58,59.02485656738281,4.9903459548950195,600.0,1000.0,3.1592233180999756,0,0.297244131565094,0.14299345016479492,10.865068435668945,200.0
0.001,,,,,,,,0.001,,0.01,,,,,59,,,,,,,,,,
,1.0,1000.0,0.0420185923576355,200.0,0.0021830780897289515,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.2618849277496338,59,958.4571533203125,42.718170166015625,600.0,1000.0,9.243178367614746,0,0.29090335965156555,0.13865526020526886,43.7825813293457,200.0
0.001,,,,,,,,0.001,,0.01,,,,,60,,,,,,,,,,
,1.0,1000.0,0.04138860106468201,200.0,0.0027769675944000483,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.243266224861145,60,370.92926025390625,15.120620727539062,600.0,1000.0,5.499203681945801,0,0.3076415956020355,0.1472294181585312,27.237079620361328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,61,,,,,,,,,,
,1.0,1000.0,0.04082069918513298,200.0,0.004400470294058323,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.2261463403701782,61,223.62481689453125,81.06314086914062,600.0,1000.0,12.732881546020508,0,0.30707189440727234,0.1500585377216339,21.148277282714844,200.0
0.001,,,,,,,,0.001,,0.01,,,,,62,,,,,,,,,,
,1.0,1000.0,0.04024195671081543,200.0,0.005111058242619038,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.2111001014709473,62,242.6884002685547,4.427350997924805,600.0,1000.0,2.9756851196289062,0,0.31126511096954346,0.14453497529029846,22.031269073486328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,63,,,,,,,,,,
,1.0,1000.0,0.03972272202372551,200.0,0.005808144807815552,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.1954154968261719,63,151.45809936523438,20.97055435180664,600.0,1000.0,6.476195335388184,0,0.3209102153778076,0.14984837174415588,17.40448760986328,200.0
0.001,,,,,,,,0.001,,0.01,,,,,64,,,,,,,,,,
,1.0,1000.0,0.037671901285648346,200.0,0.007080342620611191,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,1.0063098669052124,64,324.89385986328125,39.522216796875,600.0,1000.0,8.890693664550781,0,0.33551448583602905,0.16740679740905762,25.490934371948242,200.0
0.001,,,,,,,,0.001,,0.01,,,,,65,,,,,,,,,,
,1.0,1000.0,0.03721458092331886,200.0,0.005847193766385317,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.9831151962280273,65,786.7967529296875,7.545534610748291,600.0,1000.0,3.8847224712371826,0,0.32209324836730957,0.1459852159023285,39.66854476928711,200.0
0.001,,,,,,,,0.001,,0.01,,,,,66,,,,,,,,,,
,1.0,1000.0,0.03676808625459671,200.0,0.004969716537743807,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.9592134952545166,66,534.5256958007812,65.17699432373047,600.0,1000.0,11.417266845703125,0,0.3194800019264221,0.1464363932609558,32.69635009765625,200.0
0.001,,,,,,,,0.001,,0.01,,,,,67,,,,,,,,,,
,1.0,1000.0,0.03633331507444382,200.0,0.0033921832218766212,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.9359688758850098,67,287.32806396484375,39.89988327026367,600.0,1000.0,8.93307113647461,0,0.3105204701423645,0.14069399237632751,23.971986770629883,200.0
0.001,,,,,,,,0.001,,0.01,,,,,68,,,,,,,,,,
,1.0,1000.0,0.035920582711696625,200.0,0.003928699064999819,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.9134129285812378,68,326.85687255859375,27.776697158813477,600.0,1000.0,7.453415393829346,0,0.31888705492019653,0.14234499633312225,25.567827224731445,200.0
0.001,,,,,,,,0.001,,0.01,,,,,69,,,,,,,,,,
,1.0,1000.0,0.035502299666404724,200.0,0.0034601581282913685,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.8911311626434326,69,634.667724609375,12.65126895904541,600.0,1000.0,5.030162811279297,0,0.32354897260665894,0.13912859559059143,35.62773513793945,200.0
0.001,,,,,,,,0.001,,0.01,,,,,70,,,,,,,,,,
,1.0,1000.0,0.035117052495479584,200.0,0.004563765600323677,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.8703631162643433,70,228.3552703857422,40.91534423828125,600.0,1000.0,9.046031951904297,0,0.322735071182251,0.12687087059020996,21.370786666870117,200.0
0.001,,,,,,,,0.001,,0.01,,,,,71,,,,,,,,,,
,1.0,1000.0,0.03473222628235817,200.0,0.003435947932302952,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.850550651550293,71,268.0360107421875,16.345687866210938,600.0,1000.0,5.717637538909912,0,0.3334568738937378,0.12928327918052673,23.153228759765625,200.0
0.001,,,,,,,,0.001,,0.01,,,,,72,,,,,,,,,,
,1.0,1000.0,0.03437737748026848,200.0,0.006372954696416855,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.8327099084854126,72,515.45751953125,24.286109924316406,600.0,1000.0,6.969377517700195,0,0.3447456359863281,0.14261579513549805,32.10786437988281,200.0
0.001,,,,,,,,0.001,,0.01,,,,,73,,,,,,,,,,
,1.0,1000.0,0.03403187915682793,200.0,0.008922526612877846,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.8185441493988037,73,3132.9248046875,29.76093864440918,600.0,1000.0,7.7150421142578125,0,0.3721722662448883,0.17129108309745789,79.15711975097656,200.0
0.001,,,,,,,,0.001,,0.01,,,,,74,,,,,,,,,,
,1.0,1000.0,0.03370581567287445,200.0,0.005068731494247913,0.02500000037252903,100.0,,0.0,,600.0,0.0,0.0,0.8075820803642273,74,1093.23193359375,37.80550765991211,600.0,1000.0,8.695459365844727,0,0.33211013674736023,0.1351378858089447,46.759639739990234,200.0
