lr-Adam,train_params/lambda_normal_consistency,train/loss_normal_consistency,train/max_step,train/loss_mask,train/max_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train/grad_norm_3d,train_params/lambda_rgb,step,train/loss_rgb,train_params/lambda_sd,train/grad_norm,train/loss_sd_3d,train/loss_sd,train_params/lambda_laplacian_smoothness,train/min_step,train/min_step_3d,epoch
,1000.0,0.1110391616821289,600.0,0.16538533568382263,600.0,1.0,100.0,5.321739196777344,1000.0,22,0.02860260382294655,0.02500000037252903,157.30027770996094,14.160452842712402,12371.689453125,0.0,200.0,200.0,0
0.001,,,,,,,,,,23,,,,,,,,,
,1000.0,0.11073619872331619,600.0,0.16525045037269592,600.0,1.0,100.0,11.579496383666992,1000.0,23,0.028472011908888817,0.02500000037252903,105.4197998046875,67.04237365722656,5556.6669921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,24,,,,,,,,,
,1000.0,0.11043955385684967,600.0,0.16522464156150818,600.0,1.0,100.0,22.625625610351562,1000.0,24,0.028338735923171043,0.02500000037252903,173.58558654785156,255.95947265625,15065.978515625,0.0,200.0,200.0,0
0.001,,,,,,,,,,25,,,,,,,,,
,1000.0,0.11014445871114731,600.0,0.16518567502498627,600.0,1.0,100.0,14.627192497253418,1000.0,25,0.02819879911839962,0.02500000037252903,207.77569580078125,106.97738647460938,21585.369140625,0.0,200.0,200.0,0
0.001,,,,,,,,,,26,,,,,,,,,
,1000.0,0.109850212931633,600.0,0.16508686542510986,600.0,1.0,100.0,9.371199607849121,1000.0,26,0.028055347502231598,0.02500000037252903,77.22736358642578,43.909698486328125,2982.032958984375,0.0,200.0,200.0,0
0.001,,,,,,,,,,27,,,,,,,,,
,1000.0,0.10956348478794098,600.0,0.16497354209423065,600.0,1.0,100.0,14.731331825256348,1000.0,27,0.02791323885321617,0.02500000037252903,77.80000305175781,108.50606536865234,3026.419921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,28,,,,,,,,,
,1000.0,0.10927475988864899,600.0,0.16494670510292053,600.0,1.0,100.0,11.071892738342285,1000.0,28,0.027775516733527184,0.02500000037252903,244.51040649414062,61.29340362548828,29892.669921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,29,,,,,,,,,
,1000.0,0.10898976027965546,600.0,0.16489112377166748,600.0,1.0,100.0,14.505642890930176,1000.0,29,0.027639932930469513,0.02500000037252903,69.86032104492188,105.20683288574219,2440.232177734375,0.0,200.0,200.0,0
0.001,,,,,,,,,,30,,,,,,,,,
,1000.0,0.10870827734470367,600.0,0.16478055715560913,600.0,1.0,100.0,15.883240699768066,1000.0,30,0.027505531907081604,0.02500000037252903,85.67630767822266,126.138671875,3670.215087890625,0.0,200.0,200.0,0
0.001,,,,,,,,,,31,,,,,,,,,
